time,SplyExpFut10yr
2010-06-29,17862312.5
2010-06-30,17864587.5
2010-07-01,17867225.0
2010-07-02,17869312.5
2010-07-03,17871962.5
2010-07-04,17874037.5
2010-07-05,17876275.0
2010-07-06,17878387.5
2010-07-07,17880337.5
2010-07-08,17882225.0
2010-07-09,17884712.5
2010-07-10,17887187.5
2010-07-11,17889425.0
2010-07-12,17897662.5
2010-07-13,17906312.5
2010-07-14,17913537.5
2010-07-15,17921337.5
2010-07-16,17927650.0
2010-07-17,17929812.5
2010-07-18,17931962.5
2010-07-19,17934137.5
2010-07-20,17936400.0
2010-07-21,17938987.5
2010-07-22,17941187.5
2010-07-23,17943612.5
2010-07-24,17945975.0
2010-07-25,17948862.5
2010-07-26,17951900.0
2010-07-27,17953975.0
2010-07-28,17955962.5
2010-07-29,17958212.5
2010-07-30,17960487.5
2010-07-31,17963025.0
2010-08-01,17966012.5
2010-08-02,17969037.5
2010-08-03,17971875.0
2010-08-04,17974912.5
2010-08-05,17977637.5
2010-08-06,17979475.0
2010-08-07,17981412.5
2010-08-08,17983900.0
2010-08-09,17986275.0
2010-08-10,17988662.5
2010-08-11,17991575.0
2010-08-12,17994287.5
2010-08-13,17996975.0
2010-08-14,18000487.5
2010-08-15,18003075.0
2010-08-16,18004912.5
2010-08-17,18006525.0
2010-08-18,18008187.5
2010-08-19,18009875.0
2010-08-20,18012287.5
2010-08-21,18014450.0
2010-08-22,18017100.0
2010-08-23,18019762.5
2010-08-24,18022450.0
2010-08-25,18025150.0
2010-08-26,18027775.0
2010-08-27,18029912.5
2010-08-28,18032037.5
2010-08-29,18034062.5
2010-08-30,18035925.0
2010-08-31,18038225.0
2010-09-01,18040187.5
2010-09-02,18042137.5
2010-09-03,18044187.5
2010-09-04,18046450.0
2010-09-05,18048512.5
2010-09-06,18050487.5
2010-09-07,18052487.5
2010-09-08,18054550.0
2010-09-09,18056237.5
2010-09-10,18058450.0
2010-09-11,18060450.0
2010-09-12,18062662.5
2010-09-13,18064800.0
2010-09-14,18067337.5
2010-09-15,18069450.0
2010-09-16,18072187.5
2010-09-17,18074787.5
2010-09-18,18077750.0
2010-09-19,18080362.5
2010-09-20,18082900.0
2010-09-21,18085050.0
2010-09-22,18087225.0
2010-09-23,18090150.0
2010-09-24,18093000.0
2010-09-25,18095587.5
2010-09-26,18098150.0
2010-09-27,18101012.5
2010-09-28,18103662.5
2010-09-29,18105712.5
2010-09-30,18107537.5
2010-10-01,18109462.5
2010-10-02,18110712.5
2010-10-03,18112237.5
