time,FeeMeanNtv
2016-02-16,0.0001961698541951833
2016-02-17,0.00019247211759088618
2016-02-18,0.00020389627639263254
2016-02-19,0.00021193722524108898
2016-02-20,0.00019061401467456715
2016-02-21,0.00019558369901776464
2016-02-22,0.00019273587559164458
2016-02-23,0.0001973457262132335
2016-02-24,0.00020637331158520215
2016-02-25,0.00021124813419599121
2016-02-26,0.00020803893896497073
2016-02-27,0.0002049629146478666
2016-02-28,0.00019118043244145065
2016-02-29,0.000209059067643205
2016-03-01,0.00021743492678412657
2016-03-02,0.0003434218926956712
2016-03-03,0.0002537431923284214
2016-03-04,0.0002477414397947492
2016-03-05,0.00026476379714890423
2016-03-06,0.00024123415378025538
2016-03-07,0.00024133052077491307
2016-03-08,0.00022189167094503938
2016-03-09,0.000288103703836635
2016-03-10,0.0002180993775863968
2016-03-11,0.0002086233567546544
2016-03-12,0.00020476264459235406
2016-03-13,0.00023982301485453105
2016-03-14,0.00021523850852422954
2016-03-15,0.00021251343170378207
2016-03-16,0.00022647972106043299
2016-03-17,0.00022278796916708578
2016-03-18,0.000208337666231052
2016-03-19,0.00019211006859021912
2016-03-20,0.00019020742805487856
2016-03-21,0.00020712121334848536
2016-03-22,0.00020765165722525997
2016-03-23,0.00020567873945686398
2016-03-24,0.00020223257070632286
2016-03-25,0.00018977822112961637
2016-03-26,0.00023171337078228797
2016-03-27,0.0001923377010552843
2016-03-28,0.00023566828565122077
2016-03-29,0.00029219718612150905
2016-03-30,0.00022679483556178022
2016-03-31,0.00022204901551122267
2016-04-01,0.00025510000329134817
2016-04-02,0.00026963263574845595
2016-04-03,0.00024232804471679558
2016-04-04,0.00021582075015184773
2016-04-05,0.00022187721160428248
2016-04-06,0.00026625988753022767
2016-04-07,0.00020416555873640414
2016-04-08,0.00020347189156139225
2016-04-09,0.00018691767366630553
2016-04-10,0.00017807633133490417
2016-04-11,0.00021835265422788855
2016-04-12,0.00021141918556643693
2016-04-13,0.00020437572694120788
2016-04-14,0.00019715243845877853
2016-04-15,0.00020997277634189702
2016-04-16,0.0001869833000177191
2016-04-17,0.00017985331734376536
2016-04-18,0.00021334014485703475
2016-04-19,0.00019346204796745446
2016-04-20,0.00019944434890524726
2016-04-21,0.0002005714005208261
2016-04-22,0.0002022448354049863
2016-04-23,0.00017934733336956522
2016-04-24,0.00018214778516506387
2016-04-25,0.0001982380023213068
2016-04-26,0.0013491667171650586
2016-04-27,0.00019322159930899854
2016-04-28,0.00020042293775190327
2016-04-29,0.00019101801474570237
2016-04-30,0.00018832266394966198
2016-05-01,0.00018110521611947402
2016-05-02,0.00020110667202135943
2016-05-03,0.00019117352479068326
2016-05-04,0.00020129659596534072
2016-05-05,0.00019310058863136542
2016-05-06,0.0001905893336234929
2016-05-07,0.0001860518103109815
2016-05-08,0.00018476416077838962
2016-05-09,0.0001793624780233457
2016-05-10,0.00019489224761333858
2016-05-11,0.00019616809075682855
2016-05-12,0.00020496703937319805
2016-05-13,0.00020611515216468777
2016-05-14,0.0002279216385133512
2016-05-15,0.0002296828455007331
