time,FeeMeanUSD
2018-09-29,0.5732115272980166
2018-09-30,0.49120108564478027
2018-10-01,0.58705872022271
2018-10-02,0.6906755433126354
2018-10-03,0.5726273018978508
2018-10-04,0.4979550664764112
2018-10-05,0.5805847165764316
2018-10-06,0.5326237567610894
2018-10-07,0.3854039205477008
2018-10-08,0.4520546378757615
2018-10-09,0.4674855000471024
2018-10-10,0.4177785038704958
2018-10-11,0.43423240361012905
2018-10-12,0.46898157455371037
2018-10-13,0.40105018718006247
2018-10-14,0.40329742508714284
2018-10-15,0.5499496341755801
2018-10-16,0.4874229359417663
2018-10-17,0.46815262561243676
2018-10-18,0.45351076565564047
2018-10-19,0.44424823515841033
2018-10-20,0.40308233310467234
2018-10-21,0.37831264511710244
2018-10-22,0.4191118979901684
2018-10-23,0.42019607306350576
2018-10-24,0.42849516466075865
2018-10-25,0.44365000254659503
2018-10-26,0.45000516213182257
2018-10-27,0.3555029795099722
2018-10-28,0.4840226376320164
2018-10-29,0.4578384018870294
2018-10-30,0.4145989586804152
2018-10-31,0.363718442751859
2018-11-01,0.3914846019769849
2018-11-02,0.40126134222966287
2018-11-03,0.34010207215523136
2018-11-04,0.3696733174829725
2018-11-05,0.4051188620667727
2018-11-06,0.4305973410523547
2018-11-07,0.4492714005246253
2018-11-08,0.4890102956345781
2018-11-09,0.4939615720451076
2018-11-10,0.4218786141910202
2018-11-11,0.3660635610516586
2018-11-12,0.40075484353262414
2018-11-13,0.40616535096481254
2018-11-14,0.5106713502369092
2018-11-15,0.735260444154036
2018-11-16,0.7061256887962635
2018-11-17,0.446211047244274
2018-11-18,0.41571117238304767
2018-11-19,0.7454697441509692
2018-11-20,1.041880907499064
2018-11-21,0.8647898093134991
2018-11-22,0.644704817684671
2018-11-23,0.5647035959615759
2018-11-24,0.47384004003980107
2018-11-25,0.5367642881060489
2018-11-26,0.5525784753616221
2018-11-27,0.5204977795955027
2018-11-28,0.6540808176247532
2018-11-29,0.7682990896577088
2018-11-30,0.6488720022030766
2018-12-01,0.5151675128448692
2018-12-02,0.43178451182032557
2018-12-03,0.506944934449034
2018-12-04,0.44337067782359074
2018-12-05,0.38708484110766034
2018-12-06,0.3611591529549727
2018-12-07,0.4060463888271829
2018-12-08,0.28858313774508476
2018-12-09,0.2507824780615589
2018-12-10,0.3024918609537507
2018-12-11,0.3084892899440041
2018-12-12,0.29331931787980275
2018-12-13,0.2703334869238363
2018-12-14,0.2893712562312495
2018-12-15,0.2211303362359124
2018-12-16,0.21222780773592043
2018-12-17,0.24523438934865055
2018-12-18,0.3696238381793478
2018-12-19,0.3984396411869702
2018-12-20,0.39311385203289095
2018-12-21,0.4233243092497804
2018-12-22,0.2935917918490623
2018-12-23,0.2442163701155345
2018-12-24,0.3416848647076714
2018-12-25,0.2588751254710886
