time,FlowOutExNtv
2013-10-31,17612.50107468
2013-11-01,9793.16510801
2013-11-02,7359.70661358
2013-11-03,14905.74271524
2013-11-04,38740.40184752
2013-11-05,43371.34672105
2013-11-06,32380.51443022
2013-11-07,42498.26271413
2013-11-08,42608.46204953
2013-11-09,35054.0773572
2013-11-10,23267.27326314
2013-11-11,24718.13213994
2013-11-12,30729.8402682
2013-11-13,47048.92317347
2013-11-14,26862.42719273
2013-11-15,23626.87699257
2013-11-16,24792.95630564
2013-11-17,21917.56943408
2013-11-18,57898.62964894
2013-11-19,58184.09962672
2013-11-20,51354.96060748
2013-11-21,29979.63367523
2013-11-22,38914.50689366
2013-11-23,25635.9624599
2013-11-24,20992.72060084
2013-11-25,22674.06890451
2013-11-26,40243.70343514
2013-11-27,48276.11300004
2013-11-28,83848.80596713
2013-11-29,49733.38636558
2013-11-30,37024.58423048
2013-12-01,34402.25362101
2013-12-02,34013.27194503
2013-12-03,23835.55255976
2013-12-04,25870.90268113
2013-12-05,48322.29016828
2013-12-06,41577.02532088
2013-12-07,39190.36800453
2013-12-08,21687.69918074
2013-12-09,23411.33229932
2013-12-10,22816.89931596
2013-12-11,22903.20701472
2013-12-12,18878.73911607
2013-12-13,18086.69735073
2013-12-14,18146.50667027
2013-12-15,13221.42617424
2013-12-16,41999.0424949
2013-12-17,29563.04371962
2013-12-18,69641.39201543
2013-12-19,47091.68226558
2013-12-20,20968.97654802
2013-12-21,29225.03586917
2013-12-22,30831.96782367
2013-12-23,24121.92592604
2013-12-24,39681.88775037
2013-12-25,30548.36741675
2013-12-26,15511.58502289
2013-12-27,18976.66626391
2013-12-28,11591.56179311
2013-12-29,9825.37051586
2013-12-30,24194.3532122
2013-12-31,11522.77797915
2014-01-01,9418.1117011
2014-01-02,14436.51273288
2014-01-03,17901.76591229
2014-01-04,12808.39557244
2014-01-05,43486.26174196
2014-01-06,25465.09566783
2014-01-07,17681.23826209
2014-01-08,30664.52806627
2014-01-09,11941.43671242
2014-01-10,16240.00437613
2014-01-11,15392.80170588
2014-01-12,9944.43714341
2014-01-13,26115.19505082
2014-01-14,18764.2852954
2014-01-15,12261.94869523
2014-01-16,17984.22547852
2014-01-17,22832.73875685
2014-01-18,5399.47052914
2014-01-19,10367.51096606
2014-01-20,26153.55087696
2014-01-21,15985.85952914
2014-01-22,12877.6062105
2014-01-23,16154.80844332
2014-01-24,10328.85611589
2014-01-25,20594.89573154
2014-01-26,9933.38612253
2014-01-27,38948.57223336
2014-01-28,27614.42085419
2014-01-29,11588.32683913
2014-01-30,33641.76300792
2014-01-31,8640.87967304
2014-02-01,16888.79685038
2014-02-02,8873.84743904
2014-02-03,19801.0626023
2014-02-04,38037.97106358
2014-02-05,13190.14795606
2014-02-06,18136.1778792
2014-02-07,46433.18381721
2014-02-08,17367.68711011
2014-02-09,19326.20389974
2014-02-10,37943.42233098
2014-02-11,30063.81175841
2014-02-12,9826.45404047
2014-02-13,16811.91233851
2014-02-14,24041.44662239
2014-02-15,24488.52769685
2014-02-16,23219.85084985
2014-02-17,29925.42867398
2014-02-18,16720.11728688
2014-02-19,19519.53847128
2014-02-20,23116.86452548
2014-02-21,24501.19212783
2014-02-22,21608.53589168
2014-02-23,19004.10835452
2014-02-24,36569.1308385
2014-02-25,68671.26062925
2014-02-26,30835.18872593
2014-02-27,26699.8377428
2014-02-28,22826.91846013
2014-03-01,14482.54670313
2014-03-02,10202.3618642
2014-03-03,40113.06857418
2014-03-04,40576.28441347
2014-03-05,23985.57960276
2014-03-06,33645.53031278
2014-03-07,19242.84526283
2014-03-08,17695.6039061
2014-03-09,11227.27501074
2014-03-10,16146.56221838
2014-03-11,18305.14155551
2014-03-12,27450.90993712
2014-03-13,19679.22844454
2014-03-14,11269.06322705
2014-03-15,11621.73402829
2014-03-16,6150.60337459
2014-03-17,18217.86169177
2014-03-18,23345.39914477
2014-03-19,17080.81753831
2014-03-20,17910.22456503
2014-03-21,21103.2810352
2014-03-22,13061.33465706
2014-03-23,10469.51146182
2014-03-24,21676.18311834
2014-03-25,19929.91665787
2014-03-26,20444.71694185
2014-03-27,41135.75969211
2014-03-28,33642.85616415
2014-03-29,15158.40414534
2014-03-30,22685.60973425
2014-03-31,33186.99611831
2014-04-01,21026.87707868
2014-04-02,29407.24555735
2014-04-03,23421.83045327
2014-04-04,27743.98688466
2014-04-05,24678.90350602
2014-04-06,17160.73297904
2014-04-07,14439.08843698
2014-04-08,15325.72417244
2014-04-09,16566.63674523
2014-04-10,47118.94946096
2014-04-11,42734.11014083
2014-04-12,13185.83494245
2014-04-13,9798.8813834
2014-04-14,22638.76985305
2014-04-15,31303.95196721
2014-04-16,34374.01497485
2014-04-17,31786.14798026
2014-04-18,14521.79332645
2014-04-19,11495.17144953
2014-04-20,9825.19473146
2014-04-21,15247.35320041
2014-04-22,22155.43076907
2014-04-23,19573.4888174
2014-04-24,15923.15558556
2014-04-25,23893.20505982
2014-04-26,14004.56045015
2014-04-27,14469.63060832
2014-04-28,22079.54518917
2014-04-29,26087.03181232
2014-04-30,13674.05636887
2014-05-01,15069.69241115
2014-05-02,22330.75733676
2014-05-03,9830.18215415
2014-05-04,14257.84336472
2014-05-05,10432.8236767
2014-05-06,12459.02926338
2014-05-07,28679.76175534
2014-05-08,18025.93621694
2014-05-09,10752.98089222
2014-05-10,12229.58580487
2014-05-11,14726.93983062
2014-05-12,14131.74178931
2014-05-13,16508.87464306
2014-05-14,22335.85156873
2014-05-15,14102.14028188
2014-05-16,17934.91847931
2014-05-17,6206.35996786
2014-05-18,11580.34670968
2014-05-19,14945.15841018
2014-05-20,35100.34703926
2014-05-21,14615.03977154
2014-05-22,28972.0825124
2014-05-23,34143.11105644
2014-05-24,12416.4645913
2014-05-25,29142.40606087
2014-05-26,23345.19685339
2014-05-27,28578.54260604
2014-05-28,23537.5466304
2014-05-29,15885.42878532
2014-05-30,23305.23124092
2014-05-31,26864.67741843
2014-06-01,27801.95880825
2014-06-02,31511.65918571
2014-06-03,20238.97821898
2014-06-04,25662.20235191
2014-06-05,22370.94630455
2014-06-06,18799.92808473
2014-06-07,11030.98111392
2014-06-08,10769.63519624
2014-06-09,13224.09989675
2014-06-10,18436.61744817
2014-06-11,17694.71227543
2014-06-12,21601.6139442
2014-06-13,32426.60290794
2014-06-14,22166.61352351
2014-06-15,13971.61047549
2014-06-16,19338.95368333
2014-06-17,17114.82779532
2014-06-18,15849.53723996
2014-06-19,19014.84764086
2014-06-20,17511.45692652
2014-06-21,17007.93204976
2014-06-22,9142.06604377
2014-06-23,24888.73976817
2014-06-24,12831.80289524
2014-06-25,17544.3734938
2014-06-26,17072.35990097
2014-06-27,13468.55640374
2014-06-28,13014.56390178
2014-06-29,13653.33122364
2014-06-30,17989.78553388
2014-07-01,31447.11988536
2014-07-02,28963.87571673
2014-07-03,17978.16176215
2014-07-04,15488.85090964
2014-07-05,8600.71947563
2014-07-06,11975.16507857
2014-07-07,16759.06746756
2014-07-08,15902.44577413
2014-07-09,11586.66201391
2014-07-10,14070.72266172
2014-07-11,19058.27200128
2014-07-12,12263.17041037
2014-07-13,15773.8315684
2014-07-14,16139.3760413
2014-07-15,13092.09700136
2014-07-16,21922.81760426
2014-07-17,13325.89146374
2014-07-18,13519.17270359
2014-07-19,24422.32485734
2014-07-20,9184.23922729
2014-07-21,15859.10518334
2014-07-22,16966.2339008
2014-07-23,22076.26330506
2014-07-24,22665.40331161
2014-07-25,25341.32749737
2014-07-26,11073.78653707
2014-07-27,9885.88558041
2014-07-28,24314.34726318
2014-07-29,13138.50444662
2014-07-30,18625.07604997
2014-07-31,21658.77877749
2014-08-01,18682.53518135
2014-08-02,16209.34190459
2014-08-03,9658.88271493
2014-08-04,22361.03049411
2014-08-05,25461.009336
2014-08-06,17302.82413259
2014-08-07,20680.21303968
2014-08-08,15505.92177971
2014-08-09,9381.45846157
2014-08-10,11612.37669177
2014-08-11,23652.36727485
2014-08-12,26527.31781827
2014-08-13,29594.38476273
2014-08-14,41350.58065258
2014-08-15,28138.59766646
2014-08-16,26821.28249025
2014-08-17,23991.61945101
2014-08-18,53697.88153121
2014-08-19,29597.2529016
2014-08-20,33304.30687579
2014-08-21,38630.49370986
2014-08-22,26256.45128009
2014-08-23,10976.06434974
2014-08-24,12088.34777772
2014-08-25,17758.01099797
2014-08-26,17246.96729691
2014-08-27,27224.33005003
2014-08-28,17167.32630281
2014-08-29,15475.85415232
2014-08-30,9960.06939191
2014-08-31,13765.97412486
2014-09-01,20343.17309266
2014-09-02,28270.566133
2014-09-03,27491.4158265
2014-09-04,21781.4733042
2014-09-05,17454.8282576
2014-09-06,11635.78292796
2014-09-07,14632.89589046
2014-09-08,20912.58005819
2014-09-09,25410.41065413
2014-09-10,28052.3790886
2014-09-11,16593.01757415
2014-09-12,19126.46128087
2014-09-13,11821.78899373
2014-09-14,17312.88403559
2014-09-15,20622.58805001
2014-09-16,21448.92939892
2014-09-17,21969.82093895
2014-09-18,35107.16245804
2014-09-19,49228.82168975
2014-09-20,23174.15036683
2014-09-21,28542.0237766
2014-09-22,23118.08811557
2014-09-23,30171.06962505
2014-09-24,36766.61200285
2014-09-25,29815.87345374
2014-09-26,25562.00185279
2014-09-27,27001.35395726
2014-09-28,25393.36491344
2014-09-29,34573.83463682
2014-09-30,29988.25897737
2014-10-01,27709.84626865
2014-10-02,29444.47772897
2014-10-03,46907.58128978
2014-10-04,41010.9065997
2014-10-05,70580.91455513
2014-10-06,57518.76112362
2014-10-07,38440.88722863
2014-10-08,50967.33381079
2014-10-09,53217.18620634
2014-10-10,50295.10632329
2014-10-11,23481.65834783
2014-10-12,18687.95863714
2014-10-13,45798.19320974
2014-10-14,39620.1835896
2014-10-15,27516.38005802
2014-10-16,31138.86889485
2014-10-17,26763.33429827
2014-10-18,25006.30471638
2014-10-19,17940.66867954
2014-10-20,28426.08443074
2014-10-21,22496.58795697
2014-10-22,33541.29788231
2014-10-23,32327.20338283
2014-10-24,34616.22144248
2014-10-25,22609.84049701
2014-10-26,22580.96240747
2014-10-27,30691.61481908
2014-10-28,24386.76763744
2014-10-29,33163.23912894
2014-10-30,27096.65134427
2014-10-31,27265.15860088
2014-11-01,30095.47480044
2014-11-02,17728.81835785
2014-11-03,26557.25724547
2014-11-04,45369.99561668
2014-11-05,37682.26487567
2014-11-06,36001.4891667
2014-11-07,31831.674746
2014-11-08,18523.67465023
2014-11-09,20047.66514961
2014-11-10,40851.7988375
2014-11-11,28115.20884787
2014-11-12,82076.82272078
2014-11-13,62085.55254523
2014-11-14,47226.25273346
2014-11-15,46769.8448133
2014-11-16,20243.82045777
2014-11-17,64492.29516859
2014-11-18,51077.959643
2014-11-19,34234.76376872
2014-11-20,42435.02192835
2014-11-21,33790.52386951
2014-11-22,21930.00832357
2014-11-23,21110.41943339
2014-11-24,37381.97610526
2014-11-25,46170.4122245
2014-11-26,31448.3232531
2014-11-27,30872.90569496
2014-11-28,33026.95412495
2014-11-29,29019.46588765
2014-11-30,20284.6268452
2014-12-01,29724.2045461
2014-12-02,32444.23224295
2014-12-03,43367.01089185
2014-12-04,32891.47636775
2014-12-05,40698.09935654
2014-12-06,27132.93525896
2014-12-07,18616.74327161
2014-12-08,48548.93346326
2014-12-09,40780.95273944
2014-12-10,38664.86200905
2014-12-11,44960.29556531
2014-12-12,32642.56826705
2014-12-13,30251.13716845
2014-12-14,18037.44541644
2014-12-15,27925.74338419
2014-12-16,44607.56817338
2014-12-17,48642.2017821
2014-12-18,64134.78871329
2014-12-19,43815.95410006
2014-12-20,38192.69440398
2014-12-21,18112.78147752
2014-12-22,51779.90430728
2014-12-23,112750.52644563
2014-12-24,22082.87924239
2014-12-25,24323.73868508
2014-12-26,31842.8082129
2014-12-27,31888.69191476
2014-12-28,20225.47579116
2014-12-29,31410.19813843
2014-12-30,26307.95015019
2014-12-31,30117.05069523
2015-01-01,13800.81614303
2015-01-02,26052.29978807
2015-01-03,52115.73902057
2015-01-04,70179.47079963
2015-01-05,57975.42185661
2015-01-06,45420.51905953
2015-01-07,50932.56479495
2015-01-08,42516.82080804
2015-01-09,77947.22137333
2015-01-10,63488.57648865
2015-01-11,56560.98693254
2015-01-12,64124.55256111
2015-01-13,104357.23792254
2015-01-14,148392.19516009
2015-01-15,91889.31263195
2015-01-16,91228.92253668
2015-01-17,49537.50469171
2015-01-18,42236.10324643
2015-01-19,45593.69265305
2015-01-20,54327.55314602
2015-01-21,89233.58084779
2015-01-22,54414.99503203
2015-01-23,69124.45317106
2015-01-24,45212.99212954
2015-01-25,45635.9491942
2015-01-26,90228.96570585
2015-01-27,59499.82546288
2015-01-28,65004.69820655
2015-01-29,62542.19838306
2015-01-30,62903.42345829
2015-01-31,53055.27251445
2015-02-01,32657.80670513
2015-02-02,41691.87467442
2015-02-03,59994.68820184
2015-02-04,40964.53459035
2015-02-05,46698.35335863
2015-02-06,45592.36455272
2015-02-07,34224.54327328
2015-02-08,31601.87026022
2015-02-09,54233.75680044
2015-02-10,50968.81258358
2015-02-11,43846.84499178
2015-02-12,34966.34793299
2015-02-13,52309.29751748
2015-02-14,45883.05306473
2015-02-15,53707.11291382
2015-02-16,39446.45987327
2015-02-17,37043.38512557
2015-02-18,44820.71010197
2015-02-19,31338.03683159
2015-02-20,33532.69480377
2015-02-21,22831.04268176
2015-02-22,22118.5192694
2015-02-23,58689.48570857
2015-02-24,33649.61633554
2015-02-25,42197.19761493
2015-02-26,31335.38945164
2015-02-27,51879.15723718
2015-02-28,25548.29425214
2015-03-01,25120.14144475
2015-03-02,49469.5786359
2015-03-03,43892.03772765
2015-03-04,52434.83576744
2015-03-05,52071.51621833
2015-03-06,42970.88955845
2015-03-07,47172.17218905
2015-03-08,48698.81188291
2015-03-09,48472.52327569
2015-03-10,47674.87247064
2015-03-11,35539.19983869
2015-03-12,61499.29479444
2015-03-13,57654.31591583
2015-03-14,35665.97852298
2015-03-15,17231.77324937
2015-03-16,33715.92337618
2015-03-17,36710.69929557
2015-03-18,71820.82126953
2015-03-19,60759.41859775
2015-03-20,40286.89626829
2015-03-21,35287.51167502
2015-03-22,23024.81094225
2015-03-23,36420.74252281
2015-03-24,61033.53286277
2015-03-25,55747.70728371
2015-03-26,54731.55817958
2015-03-27,46492.17470623
2015-03-28,29590.50989384
2015-03-29,36180.7750416
2015-03-30,42657.32351111
2015-03-31,48424.64293565
2015-04-01,43310.41063783
2015-04-02,42459.06776587
2015-04-03,38679.91354145
2015-04-04,20905.05457512
2015-04-05,20954.96907741
2015-04-06,33727.71462394
2015-04-07,44546.62633204
2015-04-08,51939.76154624
2015-04-09,47183.9667422
2015-04-10,41239.51209147
2015-04-11,38840.56524467
2015-04-12,24591.17766744
2015-04-13,58824.94961799
2015-04-14,60437.83593435
2015-04-15,61544.99345201
2015-04-16,41493.10467015
2015-04-17,49836.91482035
2015-04-18,44936.92921168
2015-04-19,27774.0674894
2015-04-20,53163.28159498
2015-04-21,51238.09689542
2015-04-22,39505.32966096
2015-04-23,36934.29798069
2015-04-24,45457.38533368
2015-04-25,32897.22051381
2015-04-26,45235.86468912
2015-04-27,67765.13127722
2015-04-28,54301.74435737
2015-04-29,54447.27528882
2015-04-30,52936.23675517
2015-05-01,40768.25014998
2015-05-02,24823.95624963
2015-05-03,29928.91579382
2015-05-04,46247.59436572
2015-05-05,40685.57296334
2015-05-06,52714.61065327
2015-05-07,43384.84788304
2015-05-08,44601.79236315
2015-05-09,33911.46815758
2015-05-10,26146.21651268
2015-05-11,42866.18308386
2015-05-12,47394.72087981
2015-05-13,54254.18596539
2015-05-14,47046.70050421
2015-05-15,38642.31054045
2015-05-16,23513.24518878
2015-05-17,21027.52610283
2015-05-18,47782.58876106
2015-05-19,49623.16301226
2015-05-20,45830.0246724
2015-05-21,49454.23731553
2015-05-22,64858.1047633
2015-05-23,37752.01987036
2015-05-24,27909.66822054
2015-05-25,36713.80987713
2015-05-26,48553.62217084
2015-05-27,51461.28452683
2015-05-28,50838.30094112
2015-05-29,58240.78083919
2015-05-30,39476.5052923
2015-05-31,35285.2571941
2015-06-01,62170.11821327
2015-06-02,60592.25237711
2015-06-03,52147.34743901
2015-06-04,51627.22798471
2015-06-05,51713.39392781
2015-06-06,37118.17527754
2015-06-07,30031.71694111
2015-06-08,57606.44625406
2015-06-09,50656.31447329
2015-06-10,46125.39077503
2015-06-11,43969.13601246
2015-06-12,52391.42254653
2015-06-13,42415.41118573
2015-06-14,36075.94113955
2015-06-15,52158.91074193
2015-06-16,99844.62682023
2015-06-17,76016.5982333
2015-06-18,72349.63059921
2015-06-19,92300.03606216
2015-06-20,31711.89822783
2015-06-21,29640.85790788
2015-06-22,50896.83469972
2015-06-23,49227.44803705
2015-06-24,54364.39661585
2015-06-25,45684.58447341
2015-06-26,56333.06237073
2015-06-27,34144.84666625
2015-06-28,35816.61748867
2015-06-29,76702.96418589
2015-06-30,77874.51016072
2015-07-01,63443.72930606
2015-07-02,58251.33288082
2015-07-03,54829.42502397
2015-07-04,33000.81249831
2015-07-05,58472.96845425
2015-07-06,89382.38359235
2015-07-07,68233.1991668
2015-07-08,81938.5697313
2015-07-09,86455.79237947
2015-07-10,110062.39769366
2015-07-11,65868.72309369
2015-07-12,57158.29926435
2015-07-13,65364.26621463
2015-07-14,59351.75302338
2015-07-15,46541.60953722
2015-07-16,66460.22819465
2015-07-17,50948.7857536
2015-07-18,45921.44504591
2015-07-19,32636.34965383
2015-07-20,41950.0055312
2015-07-21,54485.59837859
2015-07-22,44626.68553261
2015-07-23,47674.84148807
2015-07-24,60685.70970526
2015-07-25,38505.20319456
2015-07-26,30629.24993607
2015-07-27,41523.44101884
2015-07-28,66346.80644652
2015-07-29,55630.17537285
2015-07-30,49679.75652381
2015-07-31,54406.71853323
2015-08-01,38503.94316231
2015-08-02,35959.23985427
2015-08-03,49393.69898597
2015-08-04,70621.57076414
2015-08-05,89224.78147261
2015-08-06,85185.95304637
2015-08-07,62939.16506774
2015-08-08,92563.11330401
2015-08-09,42135.93818306
2015-08-10,59374.66289592
2015-08-11,75002.06240283
2015-08-12,80179.6348188
2015-08-13,84996.37339743
2015-08-14,67088.05524052
2015-08-15,72664.79940334
2015-08-16,75022.7059912
2015-08-17,147546.24515437
2015-08-18,96281.46345063
2015-08-19,104272.30319129
2015-08-20,91900.72232852
2015-08-21,63878.56361017
2015-08-22,60862.73854856
2015-08-23,38355.50247811
2015-08-24,139528.7364199
2015-08-25,122323.90560239
2015-08-26,83043.97209957
2015-08-27,78237.11479693
2015-08-28,111986.20327383
2015-08-29,43523.52845316
2015-08-30,28149.47977401
2015-08-31,63138.82947701
2015-09-01,73747.67151103
2015-09-02,81726.43259023
2015-09-03,53912.27400402
2015-09-04,64097.47928354
2015-09-05,45161.73157169
2015-09-06,47640.50841908
2015-09-07,53015.05136809
2015-09-08,79009.34946577
2015-09-09,82070.66741591
2015-09-10,79604.69186516
2015-09-11,56420.57514905
2015-09-12,35408.23383503
2015-09-13,50877.8798534
2015-09-14,88928.51872258
2015-09-15,61180.87468349
2015-09-16,103389.52129339
2015-09-17,75417.32510085
2015-09-18,68578.31510557
2015-09-19,43797.10249035
2015-09-20,35883.37447366
2015-09-21,86399.7724963
2015-09-22,91755.15652775
2015-09-23,47916.52337392
2015-09-24,52511.07496451
2015-09-25,74829.76193459
2015-09-26,46827.21996696
2015-09-27,27649.80092768
2015-09-28,65066.41550312
2015-09-29,84220.90740435
2015-09-30,78441.80880874
2015-10-01,102190.36550257
2015-10-02,76418.16874321
2015-10-03,46270.57974884
2015-10-04,47844.88663429
2015-10-05,59749.44621102
2015-10-06,79657.21841372
2015-10-07,68943.14799673
2015-10-08,97291.00904598
2015-10-09,61835.83295332
2015-10-10,48759.89853789
2015-10-11,45890.09526127
2015-10-12,75583.50438203
2015-10-13,88778.57221643
2015-10-14,83110.57740313
2015-10-15,90006.25575693
2015-10-16,108105.13752246
2015-10-17,112409.07508353
2015-10-18,65108.20142426
2015-10-19,95073.63252022
2015-10-20,90877.56027266
2015-10-21,96191.03688866
2015-10-22,88524.21996279
2015-10-23,77462.76692713
2015-10-24,64409.27015346
2015-10-25,83749.67840151
2015-10-26,81355.30791527
2015-10-27,91953.58835181
2015-10-28,138596.24086086
2015-10-29,131657.89456494
2015-10-30,166660.9548341
2015-10-31,144447.00827185
2015-11-01,113547.35422933
2015-11-02,158473.56288719
2015-11-03,192936.22905157
2015-11-04,173427.69525706
2015-11-05,195611.76262403
2015-11-06,113523.0657056
2015-11-07,94079.60925926
2015-11-08,83457.48064819
2015-11-09,119912.95262912
2015-11-10,173109.37503486
2015-11-11,202263.81684445
2015-11-12,130222.09055819
2015-11-13,101850.31302183
2015-11-14,103083.98130315
2015-11-15,95744.00071494
2015-11-16,145008.71392446
2015-11-17,141493.43519186
2015-11-18,90604.4085226
2015-11-19,93767.52635321
2015-11-20,91208.84596091
2015-11-21,69608.75589766
2015-11-22,56685.14219198
2015-11-23,63150.54037609
2015-11-24,74714.39369961
2015-11-25,83302.10724992
2015-11-26,108247.6106199
2015-11-27,272794.71500443
2015-11-28,72640.65892912
2015-11-29,63218.24333729
