time,FeeTotUSD
2011-03-04,0.64050188
2011-03-05,2.245271406555175
2011-03-06,4.602047739561078
2011-03-07,5.201505277818747
2011-03-08,3.5075899627626965
2011-03-09,2.7329019542
2011-03-10,2.935407618505398
2011-03-11,4.938761652
2011-03-12,1.410623868725816
2011-03-13,1.6916192539455
2011-03-14,1.6137340544871268
2011-03-15,1.4491395272776
2011-03-16,1.5321809982466403
2011-03-17,1.1303243205348001
2011-03-18,1.1238656261633422
2011-03-19,0.90866160675
2011-03-20,1.86641385605
2011-03-21,7.018873312261501
2011-03-22,8.941051561622565
2011-03-23,14.439600161816998
2011-03-24,7.336870755459575
2011-03-25,4.580314778999999
2011-03-26,3.8057255199999998
2011-03-27,5.2609912794
2011-03-28,3.417384151256576
2011-03-29,2.7580138555294234
2011-03-30,3.199021299678554
2011-03-31,3.0678251000000003
2011-04-01,2.6397151
2011-04-02,2.2211644116398
2011-04-03,3.2321592607
2011-04-04,4.0855452096
2011-04-05,3.6002877739535344
2011-04-06,3.5004220073999996
2011-04-07,2.28416476
2011-04-08,3.187532499
2011-04-09,3.083054172413792
2011-04-10,3.9030990549211353
2011-04-11,3.347762002521696
2011-04-12,3.8723659463910347
2011-04-13,4.196301646320409
2011-04-14,13.685365599658361
2011-04-15,2.487709362871419
2011-04-16,3.8630023114583274
2011-04-17,2.363817627930865
2011-04-18,4.051871952655962
2011-04-19,6.543614991535702
2011-04-20,8.114698436045671
2011-04-21,4.073239960536063
2011-04-22,7.457921984482732
2011-04-23,13.096593554258225
2011-04-24,7.706592798007892
2011-04-25,13.97340977919573
2011-04-26,8.837381479865943
2011-04-27,17.455318838691856
2011-04-28,15.1099137912335
2011-04-29,22.085994769118194
2011-04-30,35.71075452
2011-05-01,34.19693049437046
2011-05-02,15.627883360000002
2011-05-03,16.353217930464844
2011-05-04,21.623896617138833
2011-05-05,32.23647130372058
2011-05-06,26.388197165069368
2011-05-07,23.480024151305905
2011-05-08,30.160380041200906
2011-05-09,39.7847455307753
2011-05-10,45.82254384270201
2011-05-11,44.17789399668264
2011-05-12,46.17071253395222
2011-05-13,94.54077190174483
2011-05-14,101.53465666035771
2011-05-15,104.21238937839495
2011-05-16,114.2870690248911
2011-05-17,99.17000728264196
2011-05-18,136.89921735453117
2011-05-19,107.65216483217408
2011-05-20,98.66713471218172
2011-05-21,128.1519280170565
2011-05-22,125.5318493641616
2011-05-23,127.80996871514161
2011-05-24,155.08092235811034
2011-05-25,184.4174696884626
2011-05-26,180.44419441396357
2011-05-27,118.0103918816372
2011-05-28,116.13073987982678
2011-05-29,122.37121819315838
2011-05-30,160.15880498862165
2011-05-31,176.44151898941809
2011-06-01,229.78332467208483
2011-06-02,251.06591549593224
2011-06-03,373.4247185912743
2011-06-04,596.5867096972538
2011-06-05,386.5095451325181
2011-06-06,543.6624899891325
2011-06-07,692.2303943643794
2011-06-08,1306.584469059704
2011-06-09,1223.0572711109744
2011-06-10,918.862293210824
2011-06-11,520.9156387805663
2011-06-12,861.9976501260752
2011-06-13,685.5929097020226
2011-06-14,698.4260836106223
2011-06-15,780.0172221881398
2011-06-16,575.2077669300138
2011-06-17,486.1796733472332
2011-06-18,464.70128480608264
2011-06-19,443.75336225407597
2011-06-20,353.1710357666522
2011-06-21,317.59949320995037
2011-06-22,308.2959786354102
2011-06-23,254.50197624115668
2011-06-24,290.9317111479801
2011-06-25,413.6878273222016
2011-06-26,421.51316827099026
2011-06-27,440.39430952617164
2011-06-28,332.1532305080786
2011-06-29,337.2266611811101
2011-06-30,284.38972216721885
2011-07-01,290.54783669557344
2011-07-02,221.90268772424315
2011-07-03,205.12276668224158
2011-07-04,228.02737276598333
2011-07-05,242.3015802575447
2011-07-06,250.1988861594755
2011-07-07,202.71083072195634
2011-07-08,191.5324969072929
2011-07-09,183.73634849314348
2011-07-10,193.0085896708669
2011-07-11,202.49184990190355
2011-07-12,176.09454002364805
2011-07-13,212.9768033943486
2011-07-14,187.33098527645848
2011-07-15,231.8093994245807
2011-07-16,147.47702568023692
2011-07-17,159.80878215434865
2011-07-18,176.47426975842612
2011-07-19,205.0390972524683
2011-07-20,142.7747673471952
2011-07-21,120.60660994870669
2011-07-22,190.00646431295232
2011-07-23,101.16363869243003
2011-07-24,164.41833498377193
2011-07-25,150.02859638355952
2011-07-26,106.0052675020345
2011-07-27,125.33326990371829
2011-07-28,101.94930982493916
2011-07-29,98.43690384940645
2011-07-30,73.89619470361309
2011-07-31,92.78755781815137
2011-08-01,103.31218196965298
2011-08-02,88.50759130465414
2011-08-03,75.16149259293601
2011-08-04,84.89455245781686
2011-08-05,64.4659672467333
2011-08-06,165.0725404327794
2011-08-07,56.48416096865227
2011-08-08,61.88767179154784
2011-08-09,114.20097986021274
2011-08-10,107.36499078392688
2011-08-11,66.97327828057347
2011-08-12,59.4567238424615
2011-08-13,73.8031688402319
2011-08-14,106.41011142728725
2011-08-15,106.67609607795201
2011-08-16,107.17624891638732
2011-08-17,75.69735447788872
2011-08-18,65.92163796263378
2011-08-19,90.24664756133228
2011-08-20,61.84950026549525
2011-08-21,61.61807513648541
2011-08-22,82.85735984184396
2011-08-23,76.01095110730014
2011-08-24,95.85951937134072
2011-08-25,56.97721916813465
2011-08-26,38.11563557955014
2011-08-27,44.21565956937852
2011-08-28,38.99924151034149
2011-08-29,49.40021559531822
2011-08-30,87.04197020794963
2011-08-31,47.75325381403697
2011-09-01,45.315734721354886
2011-09-02,59.14005880854356
2011-09-03,31.99295273421214
2011-09-04,82.82718162758098
2011-09-05,52.76291043704493
2011-09-06,45.433376365778834
2011-09-07,58.07002566076471
2011-09-08,30.49781272010715
2011-09-09,38.74151888154418
2011-09-10,25.299107751858106
2011-09-11,30.582376928646088
2011-09-12,31.198283558613507
2011-09-13,24.38350019626369
2011-09-14,21.794111498858324
2011-09-15,35.3255858426685
2011-09-16,23.959541060109647
2011-09-17,24.882800761766426
2011-09-18,28.353715069148468
2011-09-19,32.4861064053596
2011-09-20,40.081390018977416
2011-09-21,29.47573447396615
2011-09-22,20.769842761993157
2011-09-23,22.81214998761485
2011-09-24,37.20015371393704
2011-09-25,17.7244312604349
2011-09-26,14.255482953019511
2011-09-27,23.12111016594601
2011-09-28,20.935369531110375
2011-09-29,15.7825828945561
2011-09-30,19.631755354114404
2011-10-01,18.019423749806776
2011-10-02,15.952778924581525
2011-10-03,45.5715567672768
2011-10-04,17.690106049553982
2011-10-05,18.957230925378884
2011-10-06,39.510919898165994
2011-10-07,17.38716660771594
2011-10-08,13.339328376648323
2011-10-09,11.929026753646466
2011-10-10,13.928007793784268
2011-10-11,21.65120590671899
2011-10-12,19.97280586997802
2011-10-13,15.211954008328108
2011-10-14,13.449508566624626
2011-10-15,12.887624156290055
2011-10-16,11.598190523175699
2011-10-17,11.562362793600148
2011-10-18,7.0854519849343465
2011-10-19,6.873701424745996
2011-10-20,14.0085231656398
2011-10-21,6.87595797641827
2011-10-22,9.30796342714152
2011-10-23,9.744579116735448
2011-10-24,8.797364619709843
2011-10-25,7.4916316550160555
2011-10-26,8.715224358829852
2011-10-27,8.657604295437745
2011-10-28,8.908004173295806
2011-10-29,13.049724743743798
2011-10-30,10.056638671562439
2011-10-31,10.360677967259107
2011-11-01,16.066625981607565
2011-11-02,10.487640557084854
2011-11-03,9.167196965442155
2011-11-04,9.661505170113633
2011-11-05,11.169613353961351
2011-11-06,6.539427040814021
2011-11-07,10.642327450426793
2011-11-08,12.505812413408892
2011-11-09,9.818041618018404
2011-11-10,9.373115870761165
2011-11-11,6.645835827469758
2011-11-12,7.090132486934258
2011-11-13,8.64242165092461
2011-11-14,6.028087449262215
2011-11-15,7.1848891420514605
2011-11-16,9.14118015024827
2011-11-17,6.945428257244187
2011-11-18,6.77687409664934
2011-11-19,6.927166492693398
2011-11-20,9.016432892752283
2011-11-21,5.886972728253232
2011-11-22,6.848902275050958
2011-11-23,8.225551194114788
2011-11-24,9.601653978290473
2011-11-25,10.963823047987798
2011-11-26,6.749883733239979
2011-11-27,6.327553965758418
2011-11-28,7.815722461198476
2011-11-29,13.88326323165872
2011-11-30,8.825961736640012
