time,FlowInExUSD
2016-11-15,35677973.26157743
2016-11-16,65291152.93890161
2016-11-17,58654074.29945847
2016-11-18,39856336.73282176
2016-11-19,27133410.595848083
2016-11-20,26486329.447135918
2016-11-21,41491190.62391516
2016-11-22,43411618.73022646
2016-11-23,43789257.81745651
2016-11-24,52583866.343476065
2016-11-25,35182228.257735506
2016-11-26,26174871.503354274
2016-11-27,20323814.616241943
2016-11-28,32214196.0198196
2016-11-29,34920923.59352179
2016-11-30,33878091.1976843
2016-12-01,45870301.826469354
2016-12-02,61656345.893093765
2016-12-03,28995111.16212846
2016-12-04,17337969.856506556
2016-12-05,50377335.45050346
2016-12-06,40463623.57921612
2016-12-07,47578259.58275045
2016-12-08,38113252.69400387
2016-12-09,40552892.10336552
2016-12-10,23603180.042680517
2016-12-11,18604844.882942073
2016-12-12,37463238.160370655
2016-12-13,36454890.54592345
2016-12-14,35464401.373176984
2016-12-15,40753201.53004287
2016-12-16,37911255.6892452
2016-12-17,29941625.109963957
2016-12-18,20599755.3857603
2016-12-19,32348203.227172624
2016-12-20,40719825.750890546
2016-12-21,49900773.00340369
2016-12-22,63755652.72631966
2016-12-23,90748144.59131898
2016-12-24,44313709.63688475
2016-12-25,38931660.315135
2016-12-26,39137994.62081361
2016-12-27,53054041.94263469
2016-12-28,70163992.50820388
2016-12-29,59602731.17284951
2016-12-30,64276847.01823402
2016-12-31,36053832.3464006
2017-01-01,33093155.27019073
2017-01-02,52117235.30418339
2017-01-03,69789793.02834487
2017-01-04,116665519.66476703
2017-01-05,120589998.56243506
2017-01-06,79323492.84828168
2017-01-07,61587116.64965389
2017-01-08,41403488.84521764
2017-01-09,50962311.70636029
2017-01-10,56441239.03969318
2017-01-11,112121185.31397864
2017-01-12,66800841.945509546
2017-01-13,44722373.51759908
2017-01-14,31619839.20749202
2017-01-15,28021553.064967345
2017-01-16,38854436.224500805
2017-01-17,59521791.06346418
2017-01-18,49248142.46611085
2017-01-19,45157540.46998133
2017-01-20,51161204.44720756
2017-01-21,32230042.682758827
2017-01-22,31259793.09374965
2017-01-23,45925831.32679767
2017-01-24,41032443.59406734
2017-01-25,39454419.46052171
2017-01-26,36536205.24548519
2017-01-27,34010767.66948914
2017-01-28,21094024.15355898
2017-01-29,17674355.773757037
2017-01-30,26147050.501365054
2017-01-31,39395161.560599774
2017-02-01,45959704.018199176
2017-02-02,38445775.282427765
2017-02-03,51960200.12255736
2017-02-04,34547012.210882366
2017-02-05,27407457.64297641
2017-02-06,40635260.836479254
2017-02-07,47749996.83830171
2017-02-08,46005448.789591976
2017-02-09,87439743.7930756
2017-02-10,43203565.55939006
2017-02-11,31777626.55118638
2017-02-12,14432819.111757342
2017-02-13,36367645.18724792
2017-02-14,37856099.757630855
2017-02-15,29862575.452876903
2017-02-16,43380224.139313765
2017-02-17,35948908.66472562
2017-02-18,21319520.197464302
2017-02-19,18303023.529407233
2017-02-20,28645925.13109556
2017-02-21,46411799.81894809
2017-02-22,36936249.3964151
2017-02-23,57451784.88549463
2017-02-24,60336693.95875303
2017-02-25,32105447.383309577
2017-02-26,23705882.405556712
2017-02-27,36576519.79993702
2017-02-28,46547051.88003479
2017-03-01,49463029.83285678
2017-03-02,86275539.53491133
2017-03-03,86438358.05276701
2017-03-04,63612618.16771124
2017-03-05,34125851.86828513
2017-03-06,51023100.30961044
2017-03-07,56120529.78785726
2017-03-08,60715072.941064626
2017-03-09,48875112.29056041
2017-03-10,63622556.71627622
2017-03-11,50518635.32470038
2017-03-12,43021002.63682481
2017-03-13,63033577.37094768
2017-03-14,60326533.93439135
2017-03-15,72565650.72145106
2017-03-16,132399498.66210452
2017-03-17,133245793.67176516
2017-03-18,105371707.58219355
2017-03-19,62032372.76290505
2017-03-20,62625616.57250202
2017-03-21,71161097.23231412
2017-03-22,78125289.6802239
2017-03-23,63392556.307688795
2017-03-24,159295413.91771308
2017-03-25,71370910.89846596
2017-03-26,52079161.21757651
2017-03-27,83558876.28402023
2017-03-28,61803481.742614366
2017-03-29,55028088.496895395
2017-03-30,81842385.31055093
2017-03-31,100608137.42533772
2017-04-01,53614840.25991888
2017-04-02,72739367.4674186
2017-04-03,72327523.70369591
2017-04-04,65271996.92493642
2017-04-05,63761694.294368885
2017-04-06,73094955.76276596
2017-04-07,80319493.08521332
2017-04-08,31327573.51311433
2017-04-09,46562499.749972746
2017-04-10,50875660.60308426
2017-04-11,63913221.979251035
2017-04-12,51045835.90612954
2017-04-13,64883419.100089535
2017-04-14,85248225.01885413
2017-04-15,67663913.43293361
2017-04-16,37711727.43756837
2017-04-17,45140986.91911504
2017-04-18,55776031.87945087
2017-04-19,63228958.016997255
2017-04-20,63256582.309942804
2017-04-21,59375780.52989806
2017-04-22,44049238.623692825
2017-04-23,42226334.772692226
2017-04-24,46552205.89234582
2017-04-25,67861949.66583665
2017-04-26,72408840.29071857
2017-04-27,81001961.30706538
2017-04-28,98933584.9997171
2017-04-29,71603733.8776726
2017-04-30,64953996.55413591
2017-05-01,110816875.08586816
2017-05-02,103856539.4721746
2017-05-03,96585839.32757542
2017-05-04,150547316.48837173
2017-05-05,125852839.501535
2017-05-06,107653872.11459316
2017-05-07,103741108.18103364
2017-05-08,188140931.35359997
2017-05-09,163795255.46963313
2017-05-10,162752296.24695593
2017-05-11,156798361.32618135
2017-05-12,124675651.88945724
2017-05-13,93973205.53105877
2017-05-14,72924390.80785264
2017-05-15,122118465.02230732
2017-05-16,174662899.14545017
2017-05-17,242433755.8511167
2017-05-18,190771173.6962126
2017-05-19,211184634.4192879
2017-05-20,173532351.78900772
2017-05-21,159453005.3903272
2017-05-22,251754769.06418383
2017-05-23,237066415.41138417
2017-05-24,319575366.1015603
2017-05-25,362024279.1673075
2017-05-26,244437106.9776872
2017-05-27,186362948.54166356
2017-05-28,126728508.81431848
2017-05-29,121589111.51210392
2017-05-30,222588240.39857775
2017-05-31,194434472.81149155
2017-06-01,248408087.47721797
2017-06-02,176439551.06869897
2017-06-03,204800449.21652824
2017-06-04,151469203.81852907
2017-06-05,219850631.92768073
2017-06-06,231294751.27532285
2017-06-07,199953652.921628
2017-06-08,192394402.1933137
2017-06-09,166848674.1738499
2017-06-10,193946798.699536
2017-06-11,201096330.77654707
2017-06-12,233187907.2683772
2017-06-13,226553639.19825533
2017-06-14,213588475.6154341
2017-06-15,213648593.04075345
2017-06-16,189600675.92282975
2017-06-17,154972660.3006814
2017-06-18,145780936.89926288
2017-06-19,160673597.81725073
2017-06-20,226978769.48374176
2017-06-21,206263552.96381244
2017-06-22,146046214.43124527
2017-06-23,127222720.2726845
2017-06-24,120395182.2272116
2017-06-25,143590796.50062293
2017-06-26,200181416.30370203
2017-06-27,192212227.0334786
2017-06-28,164198288.22861767
2017-06-29,140304428.64659876
2017-06-30,155183041.63382977
2017-07-01,121711025.40492748
2017-07-02,111703116.94451153
2017-07-03,141613643.75337943
2017-07-04,156611795.2833174
2017-07-05,146787328.23109162
2017-07-06,123120726.7819567
2017-07-07,156687114.77759957
2017-07-08,123174938.21358433
2017-07-09,148108629.1296793
2017-07-10,168315607.98584375
2017-07-11,183155189.64195323
2017-07-12,136001510.8662602
2017-07-13,111359293.24587224
2017-07-14,166741713.19396126
2017-07-15,131239962.9296114
2017-07-16,144135598.5138678
2017-07-17,163742814.01488128
2017-07-18,186468901.65639037
2017-07-19,153256993.45123598
2017-07-20,276303625.2193147
2017-07-21,177080808.29822618
2017-07-22,144205687.02463633
2017-07-23,103762671.57782032
2017-07-24,153729365.63668776
2017-07-25,203673094.79539204
2017-07-26,145102857.58880165
2017-07-27,201341243.92352363
2017-07-28,370451677.74122775
2017-07-29,179497658.45775032
2017-07-30,286880552.57334095
2017-07-31,361962427.7077536
2017-08-01,246279045.87806976
2017-08-02,328017850.08469445
2017-08-03,346660059.07240105
2017-08-04,277008628.3545266
2017-08-05,280135067.1426526
2017-08-06,201057106.6753255
2017-08-07,368008559.8760871
2017-08-08,435285551.68899566
2017-08-09,293714621.28785926
2017-08-10,358609884.6948387
2017-08-11,390845963.0693256
2017-08-12,395070816.1506234
2017-08-13,369970493.3970816
2017-08-14,439753531.4410934
2017-08-15,438971731.7982237
2017-08-16,495440917.3171434
2017-08-17,296837077.56566054
2017-08-18,492086700.9227778
2017-08-19,388623527.3493852
2017-08-20,356002659.502353
2017-08-21,416980789.5408097
2017-08-22,437806617.98648983
2017-08-23,408508037.1339948
2017-08-24,268904097.66262615
2017-08-25,247968656.3598256
2017-08-26,224435800.37441105
2017-08-27,245297794.279746
2017-08-28,365191721.92031926
2017-08-29,436519359.10490257
2017-08-30,331539227.8514928
2017-08-31,263576804.3522988
2017-09-01,318207937.45340407
2017-09-02,207394454.5534842
2017-09-03,199856458.10227248
2017-09-04,421936993.0224712
2017-09-05,364462926.01777047
2017-09-06,358090542.63278466
2017-09-07,271375553.61904234
2017-09-08,401425057.36006206
2017-09-09,205568606.72174007
2017-09-10,347796497.80389076
2017-09-11,259306726.15773264
2017-09-12,272696777.47571135
2017-09-13,290428818.422838
2017-09-14,330071457.4344704
2017-09-15,495777784.66815585
2017-09-16,177950377.32923624
2017-09-17,136845085.23080277
2017-09-18,288661662.8967572
2017-09-19,218068953.76666468
2017-09-20,164314278.07886785
2017-09-21,145843162.08325273
2017-09-22,146865583.1940174
2017-09-23,124477052.34301735
2017-09-24,112351463.38646814
2017-09-25,177800852.7436999
2017-09-26,145436081.90848947
2017-09-27,199936002.06148872
2017-09-28,266615249.64513385
2017-09-29,201910214.6142899
2017-09-30,131487983.7616986
2017-10-01,119131363.60368122
2017-10-02,184626490.8852785
2017-10-03,218913858.76805052
2017-10-04,175071434.23416927
2017-10-05,174194420.42943305
2017-10-06,173094059.60524932
2017-10-07,124415285.35050872
2017-10-08,156897572.5266188
2017-10-09,324364022.5381983
2017-10-10,229789481.9827225
2017-10-11,209519810.0424136
2017-10-12,301540856.6618421
2017-10-13,366549991.09193945
2017-10-14,210789003.34713504
2017-10-15,169313608.0360079
2017-10-16,186366621.79515097
2017-10-17,188859204.80512685
2017-10-18,216655513.77744913
2017-10-19,199360383.76422393
2017-10-20,291948479.02963334
2017-10-21,232182036.82722753
2017-10-22,245142204.4005601
2017-10-23,671876662.6005802
2017-10-24,522465903.7797984
2017-10-25,237880443.74670047
2017-10-26,213767138.17364624
2017-10-27,154223117.4005316
2017-10-28,147078880.4345475
2017-10-29,308722274.3284527
2017-10-30,279955726.71234125
2017-10-31,307276731.39255226
2017-11-01,357111200.46199954
2017-11-02,540773707.3469964
2017-11-03,341457265.27834725
2017-11-04,286885863.4888944
2017-11-05,255993209.63999137
2017-11-06,336081372.46706146
2017-11-07,425467979.9036717
2017-11-08,613239424.136968
2017-11-09,525259725.31266695
2017-11-10,523176817.49917454
2017-11-11,444943073.15344125
2017-11-12,917404455.5539871
2017-11-13,1391276345.2554328
2017-11-14,912876084.010398
2017-11-15,1062987814.2327248
2017-11-16,1208265359.9613686
2017-11-17,1257010244.0731497
2017-11-18,696579007.522861
2017-11-19,744638613.760158
2017-11-20,757160506.3444966
2017-11-21,781924378.8433536
2017-11-22,891163304.3956102
2017-11-23,815454331.2022783
2017-11-24,724904939.4394554
2017-11-25,516804755.995724
2017-11-26,535795546.67492384
2017-11-27,816408086.1263742
2017-11-28,858097581.0509744
2017-11-29,963879600.3233371
2017-11-30,870564413.953114
2017-12-01,736617368.3445371
2017-12-02,478291421.5281211
2017-12-03,527451086.04866767
2017-12-04,767254502.0195911
2017-12-05,765761579.3580054
2017-12-06,1127740925.096436
2017-12-07,2058512413.2233417
2017-12-08,1627482642.6227517
2017-12-09,998936164.533146
2017-12-10,894742885.6979924
2017-12-11,1212359104.2500925
2017-12-12,1321949758.7468505
2017-12-13,1062033551.3882476
2017-12-14,1089698959.99169
2017-12-15,1225349324.5449545
2017-12-16,1002224693.3977512
2017-12-17,859462242.85905
2017-12-18,1124808197.390926
2017-12-19,1179990615.0807917
2017-12-20,1468165576.4891555
2017-12-21,1055061536.1217492
2017-12-22,1497003257.9693065
2017-12-23,809955711.0722952
2017-12-24,646291116.1458585
2017-12-25,585521839.4382247
2017-12-26,833830271.8089613
2017-12-27,1021560587.4255488
2017-12-28,871580212.3630075
2017-12-29,1203942827.3584712
2017-12-30,879562883.0491557
2017-12-31,679120223.033355
2018-01-01,514637259.28255504
2018-01-02,1087287089.434085
2018-01-03,856870938.450919
2018-01-04,1169130615.5571733
2018-01-05,1344461164.5159948
2018-01-06,1041043104.3574992
2018-01-07,969053823.8644581
2018-01-08,1054089851.201588
2018-01-09,884845764.2944739
2018-01-10,1103577176.568385
2018-01-11,781132435.7520157
2018-01-12,840205844.1924909
2018-01-13,676359184.6522584
2018-01-14,510548191.6211641
2018-01-15,806640399.6055477
2018-01-16,1072374318.7824008
2018-01-17,1059791876.9431424
2018-01-18,867373205.0353239
2018-01-19,759250486.6800846
2018-01-20,701403633.2044291
2018-01-21,380911884.93892413
2018-01-22,529663234.3206775
2018-01-23,511901739.2719251
2018-01-24,529807594.9745795
2018-01-25,518746563.609962
2018-01-26,683814094.9652146
2018-01-27,290301510.74084365
2018-01-28,429651751.69066143
2018-01-29,435309997.4722261
2018-01-30,484275195.47065294
2018-01-31,432285360.4792238
2018-02-01,814568732.1386024
2018-02-02,899032218.7506742
2018-02-03,334982935.94114715
2018-02-04,455620992.13022983
2018-02-05,598296787.251486
2018-02-06,768959923.9362288
2018-02-07,312221527.6782514
2018-02-08,400191288.03931034
2018-02-09,396526846.5048368
2018-02-10,390311442.7622736
2018-02-11,244171476.781965
2018-02-12,268453576.6857514
2018-02-13,305762066.7100469
2018-02-14,328337339.40996593
2018-02-15,374511202.47102046
2018-02-16,387619499.6300004
2018-02-17,261419327.55254084
2018-02-18,479559145.73387456
2018-02-19,325442448.52359325
2018-02-20,443242054.2493684
2018-02-21,462057887.8763311
2018-02-22,361813906.91494405
2018-02-23,449614266.67200094
2018-02-24,238717130.96875185
2018-02-25,208856266.40731004
2018-02-26,365294886.2091636
2018-02-27,384269790.29502743
2018-02-28,415731179.63849235
2018-03-01,468725841.17454994
2018-03-02,353525024.49320936
2018-03-03,237405445.61979225
2018-03-04,222571953.39594507
2018-03-05,379198298.8512198
2018-03-06,331562292.8625684
2018-03-07,397143368.1185474
2018-03-08,298074798.03181034
2018-03-09,452613349.01013416
2018-03-10,158121911.69177267
2018-03-11,235717418.78500983
2018-03-12,244354671.63836825
2018-03-13,313496125.4595159
2018-03-14,310065227.8119201
2018-03-15,364627794.13792974
2018-03-16,234478822.76124436
2018-03-17,149371875.03498217
2018-03-18,336981774.0013053
2018-03-19,358205183.873441
2018-03-20,288599867.4952208
2018-03-21,287927951.0199551
2018-03-22,237099639.8683543
2018-03-23,246413640.01904544
2018-03-24,185779873.1132208
2018-03-25,127657946.2573306
2018-03-26,298738392.9815426
2018-03-27,196984506.9722158
2018-03-28,206785435.8109657
2018-03-29,325533887.72343034
2018-03-30,359458773.1453312
2018-03-31,206446185.72807312
2018-04-01,170228636.2912395
2018-04-02,226155692.93076164
2018-04-03,491127617.79148227
2018-04-04,267484755.30043617
2018-04-05,347347830.0429455
2018-04-06,162681960.27286324
2018-04-07,154840742.20273
2018-04-08,114656578.77273716
2018-04-09,182573586.95407104
2018-04-10,195431488.7446628
2018-04-11,275790836.8574547
2018-04-12,462769445.3752592
2018-04-13,348657175.71554047
2018-04-14,211278944.8592489
2018-04-15,175650743.93909037
2018-04-16,214461985.12270585
2018-04-17,559570638.0644559
2018-04-18,297389266.4623798
