time,CapFutExp10yrUSD
2018-06-23,125650588346.42287
2018-06-24,125087727533.00874
2018-06-25,127064296952.39568
2018-06-26,124065764644.1479
2018-06-27,124943282413.05005
2018-06-28,119234955357.92397
2018-06-29,126609503676.11543
2018-06-30,129757923983.027
2018-07-01,129471627995.55809
2018-07-02,134499477216.43697
2018-07-03,132260628459.15047
2018-07-04,133911125449.2227
2018-07-05,133016267518.94646
2018-07-06,134303458992.81104
2018-07-07,137142354243.39586
2018-07-08,136473627981.96962
2018-07-09,135642638923.03575
2018-07-10,128419492462.18723
2018-07-11,129823123919.77303
2018-07-12,125376733375.97821
2018-07-13,126386084162.26608
2018-07-14,127326313456.8185
2018-07-15,129210354796.18826
2018-07-16,136604892113.54439
2018-07-17,149019515312.11774
2018-07-18,150150140052.49875
2018-07-19,152004492111.0575
2018-07-20,149160838357.2624
2018-07-21,150858343289.53702
2018-07-22,150634851637.8402
2018-07-23,157083555958.18652
2018-07-24,170958585298.30655
2018-07-25,166993160656.80847
2018-07-26,161115945230.73508
2018-07-27,166408114842.08792
2018-07-28,166747629976.25534
2018-07-29,167548821270.27136
2018-07-30,166374451776.42984
2018-07-31,157281511777.1105
2018-08-01,154668391689.03867
2018-08-02,153570689356.86383
2018-08-03,150898292457.662
2018-08-04,142570033832.03473
2018-08-05,143169971422.0254
2018-08-06,141102779001.71747
2018-08-07,136881203037.62553
2018-08-08,127614433342.224
2018-08-09,133535262194.8259
2018-08-10,124937205165.05818
2018-08-11,128563296156.61697
2018-08-12,128584013911.38902
2018-08-13,127590895874.11317
2018-08-14,125942428446.57455
2018-08-15,127682725478.36612
2018-08-16,128102453752.1978
2018-08-17,133649593083.80093
2018-08-18,130315779490.11302
2018-08-19,132179113545.84918
2018-08-20,127745977111.42384
2018-08-21,131822898928.20378
2018-08-22,129623743472.60143
2018-08-23,132708512724.68176
2018-08-24,136402731832.63454
2018-08-25,137375733360.88498
2018-08-26,136245826574.09494
2018-08-27,139288234737.3625
2018-08-28,144459195142.75696
2018-08-29,143247983187.89752
2018-08-30,141895998165.9549
2018-08-31,143082589997.58762
2018-09-01,146489925842.53857
2018-09-02,148412526942.90808
2018-09-03,147819472929.08633
2018-09-04,149885031080.88434
2018-09-05,138319097719.99313
2018-09-06,132152658573.64256
2018-09-07,130536463742.56177
2018-09-08,126039201426.34544
2018-09-09,127292587344.8071
2018-09-10,128233800101.54591
2018-09-11,127889636193.01762
2018-09-12,128891688323.31737
2018-09-13,132221151643.04181
2018-09-14,132299554932.56175
2018-09-15,132901301667.38939
2018-09-16,132357575342.81953
2018-09-17,127494139347.82594
2018-09-18,129160938709.04286
2018-09-19,130050765412.2567
2018-09-20,132388029876.67564
2018-09-21,137330426206.71259
2018-09-22,136605445891.3166
2018-09-23,136559362204.26698
2018-09-24,133981896180.1755
2018-09-25,130721903256.05435
2018-09-26,131676891145.3388
2018-09-27,136051485643.41005
2018-09-28,134937140451.60715
2018-09-29,134151731705.45007
2018-09-30,134560603528.14995
2018-10-01,133692835193.02159
2018-10-02,132612494107.3711
2018-10-03,131712096103.8874
2018-10-04,133360502290.43068
2018-10-05,134174068975.36986
2018-10-06,133468912696.27928
2018-10-07,133757458097.0531
2018-10-08,134576262199.22128
2018-10-09,134287109077.27005
2018-10-10,133038990773.6047
2018-10-11,125504327929.64882
2018-10-12,126166326580.5583
2018-10-13,126290125228.4549
2018-10-14,125989517794.03775
2018-10-15,131285869612.92508
2018-10-16,131678922108.2619
2018-10-17,131288929331.20102
2018-10-18,130347815418.42665
2018-10-19,130076125546.58182
2018-10-20,130590578591.43579
2018-10-21,130736399746.59743
2018-10-22,130589047120.83524
2018-10-23,130345101866.77295
2018-10-24,130709309579.27017
2018-10-25,130476749674.03793
2018-10-26,130514531525.69551
2018-10-27,130623840811.34015
2018-10-28,130568747314.38902
2018-10-29,127643745925.15062
2018-10-30,127831247220.81563
