time,UTXOCnt
2015-12-05,32609483.0
2015-12-09,32710885.0
2015-12-12,32777532.0
2015-12-16,32850217.0
2015-12-20,33032133.0
2015-12-24,33224525.0
2015-12-28,33399699.0
2016-01-01,33404591.0
2016-01-05,33525178.0
2016-01-09,33593980.0
2016-01-13,33700094.0
2016-01-17,33861672.0
2016-01-22,33794613.0
2016-01-25,33955906.0
2016-01-29,34041592.0
2016-02-02,34095484.0
2016-02-05,33925397.0
2016-02-09,34249625.0
2016-02-13,34313709.0
2016-02-17,34517478.0
2016-02-21,34674448.0
2016-02-26,34853281.0
2016-03-01,35155538.0
2016-03-05,35116393.0
2016-03-09,35040266.0
2016-03-14,35153663.0
2016-03-18,35202916.0
2016-03-22,35452244.0
2016-03-26,35488306.0
2016-03-30,35262835.0
2016-04-04,35213794.0
2016-04-08,35364048.0
2016-04-12,35614511.0
2016-04-16,35828810.0
2016-04-20,36057581.0
2016-04-24,36302439.0
2016-04-29,36650972.0
2016-05-03,36975334.0
2016-05-07,37185213.0
2016-05-11,37466183.0
2016-05-15,37738113.0
2016-05-19,38145065.0
2016-05-23,38174111.0
2016-05-28,38282703.0
2016-06-01,38368166.0
2016-06-06,38657925.0
2016-06-10,38943528.0
2016-06-14,39143446.0
2016-06-18,39300115.0
2016-06-22,39486131.0
2016-06-26,39585754.0
2016-06-30,39798139.0
2016-07-04,39913076.0
2016-07-09,40045419.0
2016-07-13,40223998.0
2016-07-17,40274657.0
2016-07-22,40445102.0
2016-07-27,40666023.0
2016-07-31,40749176.0
2016-08-04,40746508.0
2016-08-08,40850105.0
2016-08-12,41013798.0
2016-08-16,41076040.0
2016-08-21,41235513.0
2016-08-25,41309508.0
2016-08-29,41427596.0
2016-09-02,41571230.0
2016-09-07,41661339.0
2016-09-11,41680894.0
2016-09-15,41675762.0
2016-09-19,41714630.0
2016-09-23,41845179.0
2016-09-27,41906149.0
2016-10-01,41934994.0
2016-10-05,41994883.0
2016-10-09,42193114.0
2016-10-13,42274465.0
2016-10-18,42398430.0
2016-10-22,42408680.0
2016-10-26,41880824.0
2016-10-30,41815626.0
2016-11-04,41934924.0
2016-11-08,42074423.0
2016-11-12,42144342.0
2016-11-16,42295546.0
2016-11-20,42455172.0
2016-11-24,42935358.0
2016-11-28,43008167.0
2016-12-02,43222677.0
2016-12-06,43245746.0
2016-12-10,43333392.0
2016-12-14,43344252.0
2016-12-19,43631400.0
2016-12-23,43753537.0
2016-12-27,43805102.0
2016-12-31,43944763.0
2017-01-04,44301150.0
2017-01-08,44484805.0
2017-01-12,44689401.0
2017-01-16,44813971.0
2017-01-20,44973348.0
2017-01-23,45153716.0
2017-01-27,44981026.0
2017-01-31,44863722.0
2017-02-04,45102531.0
2017-02-08,45181339.0
2017-02-12,45316331.0
2017-02-16,45425567.0
2017-02-21,45673502.0
2017-02-25,45937028.0
2017-03-01,46044960.0
2017-03-05,46369764.0
2017-03-09,46686568.0
2017-03-13,46657151.0
2017-03-17,46878462.0
2017-03-22,47020715.0
2017-03-26,47242671.0
2017-03-30,47466878.0
2017-04-03,47645715.0
2017-04-07,47903415.0
2017-04-11,48043568.0
2017-04-16,48538918.0
2017-04-20,48851813.0
2017-04-24,48929979.0
2017-04-28,49351535.0
2017-05-02,49495226.0
2017-05-06,49997049.0
2017-05-10,50293539.0
2017-05-14,50743979.0
2017-05-19,50979781.0
2017-05-22,51245008.0
2017-05-26,51751209.0
2017-05-30,51989770.0
2017-06-03,52165034.0
2017-06-07,52116783.0
2017-06-11,52122855.0
2017-06-15,52249230.0
2017-06-19,52013179.0
2017-06-23,52154606.0
2017-06-28,52083953.0
2017-07-02,51900618.0
2017-07-06,51817563.0
2017-07-10,51790178.0
2017-07-13,51803682.0
2017-07-18,51658367.0
2017-07-22,51555852.0
2017-07-25,51328362.0
2017-07-29,51022271.0
2017-08-03,50483757.0
2017-08-07,50196681.0
2017-08-11,50309431.0
2017-08-15,50612114.0
2017-08-19,50892375.0
2017-08-24,51278841.0
2017-08-29,51500381.0
2017-09-02,51259813.0
2017-09-06,51237022.0
2017-09-09,51217030.0
2017-09-13,51234808.0
2017-09-16,51339156.0
2017-09-21,51420344.0
2017-09-24,51587033.0
2017-09-29,51779904.0
2017-10-03,51800543.0
2017-10-07,52024283.0
2017-10-11,52058427.0
2017-10-15,52317192.0
2017-10-19,52616327.0
2017-10-22,52546137.0
2017-10-26,52559385.0
2017-10-30,53139854.0
2017-11-04,53774985.0
2017-11-08,54046516.0
2017-11-14,54883016.0
2017-11-18,55235716.0
2017-11-21,55376359.0
2017-11-26,55825146.0
2017-11-29,56480851.0
2017-12-03,56944991.0
2017-12-06,57588358.0
2017-12-10,58452225.0
2017-12-14,59209766.0
2017-12-17,59889753.0
2017-12-21,61093747.0
2017-12-26,61510774.0
2017-12-30,61924930.0
2018-01-03,62017807.0
2018-01-07,63293351.0
2018-01-10,64162300.0
2018-01-14,63999942.0
2018-01-18,64127561.0
2018-01-21,63284913.0
2018-01-25,62411193.0
2018-01-29,61880404.0
2018-02-02,61444423.0
2018-02-06,60456644.0
2018-02-10,59511630.0
2018-02-14,57905035.0
2018-02-18,56701843.0
2018-02-22,55734504.0
2018-02-26,55060229.0
2018-03-02,54460803.0
2018-03-06,53453716.0
2018-03-10,52309702.0
2018-03-14,51083564.0
2018-03-18,51259954.0
2018-03-22,51266446.0
2018-03-26,51183054.0
2018-03-30,51286145.0
2018-04-04,51365012.0
2018-04-07,51406703.0
2018-04-11,51427964.0
2018-04-15,51359264.0
2018-04-19,51233200.0
2018-04-23,51424369.0
2018-04-28,51377792.0
2018-05-02,51615214.0
2018-05-06,51562331.0
2018-05-10,51446814.0
2018-05-14,51483312.0
2018-05-19,51537415.0
2018-05-23,51609691.0
2018-05-26,51817062.0
2018-05-30,51851432.0
2018-06-03,51980739.0
2018-06-07,51424972.0
2018-06-11,51433527.0
2018-06-16,51319317.0
2018-06-19,51286651.0
2018-06-23,50918284.0
2018-06-27,50657865.0
2018-07-02,50492167.0
2018-07-06,50463299.0
2018-07-10,50338795.0
2018-07-15,49164365.0
2018-07-19,48885227.0
2018-07-23,49018565.0
2018-07-26,48870253.0
2018-07-30,48905901.0
2018-08-03,48905711.0
2018-08-07,48887214.0
2018-08-11,48969229.0
2018-08-15,49085691.0
2018-08-19,49288629.0
2018-08-23,49386681.0
2018-08-27,49395892.0
2018-08-31,49424374.0
2018-09-05,49518604.0
2018-09-09,49550152.0
2018-09-13,49517346.0
2018-09-17,49623643.0
2018-09-22,49767738.0
2018-09-26,49924278.0
2018-09-30,50090610.0
2018-10-04,50194020.0
2018-10-09,50348981.0
2018-10-13,50345985.0
2018-10-17,50254445.0
2018-10-22,50219060.0
2018-10-26,50148584.0
2018-10-30,50062988.0
2018-11-03,50005434.0
2018-11-08,49965707.0
2018-11-13,50100403.0
2018-11-17,50250716.0
2018-11-23,50262682.0
2018-11-27,50264035.0
2018-12-03,50327848.0
2018-12-08,50308387.0
2018-12-13,50175554.0
2018-12-17,49956121.0
2018-12-22,49861812.0
2018-12-25,49744628.0
2018-12-29,49697356.0
2019-01-02,49643901.0
2019-01-06,49614385.0
2019-01-10,49699595.0
2019-01-14,49924954.0
2019-01-19,50125521.0
2019-01-23,50235008.0
2019-01-28,50388888.0
2019-02-01,50554844.0
2019-02-05,50690908.0
2019-02-09,50708249.0
2019-02-13,50600773.0
2019-02-17,50734104.0
2019-02-22,50860011.0
2019-02-26,51020200.0
2019-03-02,51218673.0
2019-03-07,51323641.0
2019-03-11,51563619.0
2019-03-15,51718128.0
2019-03-19,51929060.0
2019-03-23,52089229.0
2019-03-27,52290684.0
2019-04-01,52538771.0
2019-04-05,52864978.0
2019-04-09,52945460.0
2019-04-13,53259673.0
2019-04-18,53447482.0
2019-04-22,53480022.0
2019-04-26,53855299.0
2019-05-01,54033413.0
2019-05-04,54284557.0
2019-05-09,54827906.0
2019-05-13,55000330.0
2019-05-17,55487930.0
2019-05-21,55489390.0
2019-05-25,55712987.0
2019-05-29,55958177.0
2019-06-02,56196512.0
2019-06-06,56481234.0
2019-06-11,56775722.0
2019-06-15,56979450.0
2019-06-19,57255168.0
2019-06-23,57533442.0
2019-06-27,57793981.0
2019-07-01,57972550.0
2019-07-05,58079668.0
2019-07-08,58329426.0
2019-07-12,58608651.0
2019-07-17,58862474.0
2019-07-21,59135807.0
2019-07-25,59246729.0
2019-07-29,59481350.0
2019-08-02,59642689.0
2019-08-06,59709483.0
2019-08-10,59861813.0
2019-08-14,60050467.0
2019-08-18,60352313.0
2019-08-23,60777086.0
2019-08-27,60900132.0
2019-08-31,61128529.0
2019-09-04,61354388.0
2019-09-08,61496775.0
2019-09-11,61538014.0
2019-09-15,61686616.0
2019-09-19,61732840.0
2019-09-23,62113395.0
2019-09-27,62240552.0
2019-10-02,62536808.0
2019-10-06,62789128.0
2019-10-10,62984381.0
2019-10-14,63280098.0
2019-10-18,63419948.0
2019-10-22,63664137.0
2019-10-27,63660276.0
2019-10-31,63680701.0
2019-11-05,63772096.0
2019-11-09,63697864.0
2019-11-14,63784046.0
2019-11-18,63209191.0
2019-11-22,63445052.0
2019-11-26,63703038.0
2019-12-01,63875927.0
2019-12-05,64109604.0
2019-12-09,64175679.0
2019-12-13,64147912.0
2019-12-18,63961713.0
2019-12-22,64182825.0
2019-12-26,64287414.0
2019-12-30,64553479.0
2020-01-03,64699171.0
2020-01-07,64916384.0
2020-01-11,65036184.0
2020-01-15,65118813.0
2020-01-19,65322430.0
2020-01-23,65332460.0
2020-01-27,65318880.0
2020-01-31,65392317.0
2020-02-05,65337941.0
2020-02-09,65280601.0
2020-02-13,65321595.0
2020-02-18,65539484.0
2020-02-22,65629918.0
2020-02-26,65862724.0
2020-03-01,66047138.0
2020-03-05,65923268.0
2020-03-09,66100578.0
2020-03-14,66192725.0
2020-03-19,66338344.0
2020-03-24,66686270.0
2020-03-29,66689954.0
2020-04-02,66608512.0
2020-04-06,66618518.0
2020-04-10,66545727.0
2020-04-14,66701596.0
2020-04-18,66608048.0
2020-04-22,66798062.0
2020-04-26,66787605.0
2020-05-01,67001772.0
2020-05-05,66622813.0
2020-05-09,66666714.0
2020-05-13,66237072.0
2020-05-18,66452346.0
2020-05-23,66704943.0
2020-05-28,66360731.0
2020-06-02,66040848.0
2020-06-06,66043099.0
2020-06-09,65998600.0
2020-06-13,65738448.0
2020-06-17,66056804.0
2020-06-22,66287908.0
2020-06-26,66260745.0
2020-06-30,66363335.0
2020-07-04,66502911.0
2020-07-08,66649430.0
2020-07-12,66751674.0
2020-07-16,67063831.0
2020-07-21,67248481.0
2020-07-25,67513152.0
2020-07-29,67378429.0
2020-08-02,67517007.0
2020-08-07,67522222.0
2020-08-11,67284455.0
2020-08-15,67385398.0
2020-08-19,67674008.0
2020-08-23,67555158.0
2020-08-28,67969427.0
2020-09-01,67821300.0
2020-09-05,68269874.0
2020-09-09,67880490.0
2020-09-13,67965528.0
2020-09-17,68028438.0
2020-09-21,67948283.0
2020-09-25,68339453.0
2020-09-30,68372981.0
2020-10-04,68338423.0
2020-10-08,68499660.0
2020-10-12,68568263.0
2020-10-16,68772880.0
2020-10-21,69016429.0
2020-10-26,69131396.0
2020-10-31,69994234.0
2020-11-05,69982900.0
2020-11-09,69398755.0
2020-11-13,69329002.0
2020-11-17,69068703.0
2020-11-21,68987340.0
2020-11-25,69236032.0
2020-11-29,69053432.0
2020-12-04,69463433.0
2020-12-08,69166663.0
2020-12-12,69567600.0
2020-12-17,69689392.0
2020-12-21,69658518.0
2020-12-25,69789245.0
2020-12-29,69617857.0
2021-01-02,69251017.0
2021-01-06,69377001.0
2021-01-10,69920106.0
2021-01-14,70087427.0
2021-01-18,70186538.0
2021-01-23,70643390.0
2021-01-27,70400469.0
2021-01-31,70815198.0
2021-02-04,71495885.0
2021-02-08,71355242.0
2021-02-13,72439843.0
2021-02-17,72603844.0
2021-02-21,73182023.0
2021-02-26,73829677.0
2021-03-02,74074682.0
2021-03-06,74467956.0
2021-03-10,74486622.0
2021-03-15,74718871.0
2021-03-19,75371972.0
2021-03-23,75060778.0
2021-03-27,75297749.0
2021-03-31,75310793.0
2021-04-04,75612636.0
2021-04-09,75988775.0
2021-04-13,76001515.0
2021-04-17,77030993.0
2021-04-23,78101124.0
2021-04-27,78051616.0
2021-05-02,78078103.0
2021-05-05,76899644.0
2021-05-09,76581635.0
2021-05-12,76100037.0
2021-05-17,76066011.0
2021-05-22,76852818.0
2021-05-27,76713985.0
2021-06-01,76040357.0
2021-06-05,75795440.0
2021-06-10,75810116.0
2021-06-15,75734250.0
2021-06-20,75828024.0
2021-06-26,75927737.0
2021-07-03,76682037.0
