time,TxCntSec
2019-08-27,3.7580439814814817
2019-08-28,3.9339699074074073
2019-08-29,4.010034722222223
2019-08-30,4.09636574074074
2019-08-31,3.874849537037037
2019-09-01,3.311886574074074
2019-09-02,3.843298611111111
2019-09-03,4.293935185185185
2019-09-04,3.7575231481481484
2019-09-05,4.101840277777778
2019-09-06,4.182858796296296
2019-09-07,3.623263888888889
2019-09-08,3.339097222222222
2019-09-09,3.664699074074074
2019-09-10,3.9226041666666664
2019-09-11,3.8808333333333334
2019-09-12,3.9238541666666666
2019-09-13,3.5255092592592594
2019-09-14,3.540787037037037
2019-09-15,3.122071759259259
2019-09-16,4.044270833333333
2019-09-17,3.9853009259259258
2019-09-18,4.170381944444444
2019-09-19,4.022395833333333
2019-09-20,4.010798611111111
2019-09-21,3.7928587962962963
2019-09-22,3.707962962962963
2019-09-23,3.369861111111111
2019-09-24,4.105370370370371
2019-09-25,3.9852430555555554
2019-09-26,4.07162037037037
2019-09-27,3.5641203703703703
2019-09-28,3.6393981481481483
2019-09-29,3.340335648148148
2019-09-30,3.592974537037037
2019-10-01,3.8363194444444444
2019-10-02,3.813449074074074
2019-10-03,3.7894212962962963
2019-10-04,3.899826388888889
2019-10-05,3.7866203703703705
2019-10-06,3.146446759259259
2019-10-07,3.812847222222222
2019-10-08,3.8511342592592595
2019-10-09,3.624050925925926
2019-10-10,4.044050925925926
2019-10-11,4.016145833333334
2019-10-12,3.4047916666666667
2019-10-13,3.3169675925925928
2019-10-14,3.5208796296296296
2019-10-15,3.9750347222222224
2019-10-16,3.863414351851852
2019-10-17,3.885196759259259
2019-10-18,3.896076388888889
2019-10-19,3.5860648148148146
2019-10-20,3.2587384259259258
2019-10-21,4.120555555555556
2019-10-22,3.9749537037037035
2019-10-23,3.9609722222222223
2019-10-24,3.572060185185185
2019-10-25,3.815
2019-10-26,3.5130439814814816
2019-10-27,3.007349537037037
2019-10-28,3.540949074074074
2019-10-29,3.582615740740741
2019-10-30,3.5752546296296295
2019-10-31,3.479537037037037
2019-11-01,3.6559606481481484
2019-11-02,3.2911805555555556
2019-11-03,3.3424189814814813
2019-11-04,3.5917708333333334
2019-11-05,3.885462962962963
2019-11-06,3.5891319444444445
2019-11-07,3.8324652777777777
2019-11-08,3.620833333333333
2019-11-09,3.427303240740741
2019-11-10,3.537650462962963
2019-11-11,3.7936574074074074
2019-11-12,3.487997685185185
2019-11-13,3.6653935185185187
2019-11-14,4.010925925925926
2019-11-15,3.801365740740741
2019-11-16,3.2444907407407406
2019-11-17,3.095972222222222
2019-11-18,3.5507175925925925
2019-11-19,3.7638541666666665
2019-11-20,3.7132638888888887
2019-11-21,3.7746643518518517
2019-11-22,3.5149074074074074
2019-11-23,3.6148611111111113
2019-11-24,3.0604050925925925
2019-11-25,3.279259259259259
2019-11-26,3.697465277777778
2019-11-27,3.6175925925925925
2019-11-28,3.6574074074074074
2019-11-29,3.5310763888888888
2019-11-30,3.2975925925925926
2019-12-01,3.103414351851852
2019-12-02,3.6875115740740743
2019-12-03,3.8653819444444446
2019-12-04,3.8449537037037036
2019-12-05,3.6936689814814816
2019-12-06,3.6003356481481483
2019-12-07,3.2711689814814813
2019-12-08,3.226423611111111
2019-12-09,3.668923611111111
