time,TxMeanByte
2018-10-12,612.5303404146822
2018-10-13,592.5657128090606
2018-10-14,570.5508655801813
2018-10-15,572.6867219839289
2018-10-16,557.9619331154762
2018-10-17,556.0689616764352
2018-10-18,542.3762990727956
2018-10-19,569.5445777816302
2018-10-20,557.2611392277269
2018-10-21,537.2785607905247
2018-10-22,556.3550547539596
2018-10-23,566.3759680900172
2018-10-24,507.6835621883498
2018-10-25,557.121559786173
2018-10-26,597.9751780618332
2018-10-27,531.6627365250758
2018-10-28,527.37502046757
2018-10-29,532.432152998658
2018-10-30,512.8760548765208
2018-10-31,519.1712518601511
2018-11-01,534.946481710713
2018-11-02,545.6946061550233
2018-11-03,571.2374461060087
2018-11-04,562.7383125522109
2018-11-05,507.54055750751814
2018-11-06,480.67900970744546
2018-11-07,506.34289527259364
2018-11-08,509.93275143463364
2018-11-09,507.7892150646715
2018-11-10,495.71191965116697
2018-11-11,516.6220186160629
2018-11-12,497.8275167829976
2018-11-13,477.1114772890099
2018-11-14,504.80316647025677
2018-11-15,519.9635948889461
2018-11-16,515.390510871561
2018-11-17,504.68140750583495
2018-11-18,489.42500719340467
2018-11-19,517.5158879132442
2018-11-20,550.8156422256887
2018-11-21,499.77500764879863
2018-11-22,558.5587788783838
2018-11-23,513.6096359455208
2018-11-24,560.6313290696231
2018-11-25,536.3703856956569
2018-11-26,512.1527569224544
2018-11-27,522.5555965188641
2018-11-28,515.6195491558462
2018-11-29,512.5979750310688
2018-11-30,488.41546308918026
2018-12-01,547.7681343990204
2018-12-02,514.6179330228626
2018-12-03,521.5321792463807
2018-12-04,553.3385185925406
2018-12-05,525.4134408832716
2018-12-06,527.0774671558429
2018-12-07,548.78787663949
2018-12-08,533.3897466075878
2018-12-09,509.0398081896641
2018-12-10,547.6725487995112
2018-12-11,535.1121608671625
2018-12-12,520.2967833740723
2018-12-13,529.117609584907
2018-12-14,560.3892770512074
2018-12-15,533.7967734204707
2018-12-16,517.9053313491099
2018-12-17,530.452615762508
2018-12-18,518.4096677871884
2018-12-19,534.4637788036719
2018-12-20,535.3100604651319
2018-12-21,523.0333157512081
2018-12-22,561.7869403222732
2018-12-23,519.6951810448318
2018-12-24,520.6196836542457
2018-12-25,493.0002188249854
2018-12-26,496.4403156716019
2018-12-27,513.578091460569
2018-12-28,504.0663321082049
2018-12-29,507.0592308853498
2018-12-30,501.35861739133674
2018-12-31,530.2144760555132
2019-01-01,508.904965385025
2019-01-02,526.7447551675402
2019-01-03,514.5820917062975
2019-01-04,507.1769515778714
2019-01-05,499.62545627319065
2019-01-06,450.83031618198856
2019-01-07,487.52537028323434
2019-01-08,460.4556108801845
2019-01-09,454.41867571836906
2019-01-10,462.65045304853095
2019-01-11,471.82006796985473
2019-01-12,439.55345610333137
2019-01-13,422.02788838868304
2019-01-14,436.28632474708047
2019-01-15,465.0460468639901
2019-01-16,483.79798300305526
2019-01-17,469.6259256138458
2019-01-18,468.1274720964815
2019-01-19,452.0114710760205
2019-01-20,430.0833305000032
2019-01-21,448.80778358005335
2019-01-22,463.3575226320769
2019-01-23,510.40276462210466
2019-01-24,479.075081292634
2019-01-25,466.26115880897413
2019-01-26,510.25162946389884
2019-01-27,436.35812268887554
2019-01-28,481.303795989119
2019-01-29,452.16922572218726
2019-01-30,453.90708118516704
2019-01-31,444.6376696944441
2019-02-01,477.02017439684545
2019-02-02,438.7784474834799
2019-02-03,430.0468166478445
2019-02-04,443.82856827563154
2019-02-05,436.39087578974693
2019-02-06,492.70342051968544
2019-02-07,464.33414625856113
2019-02-08,478.63884514435694
2019-02-09,450.7749218378087
