time,CapMrktCurUSD
2019-09-14,185880236553.63385
2019-09-15,184871734710.72015
2019-09-16,184025389806.38568
2019-09-17,182928175635.3786
2019-09-18,182335008771.54584
2019-09-19,184275340089.0727
2019-09-20,182531039220.80652
2019-09-21,179254415005.12704
2019-09-22,180363155234.70972
2019-09-23,174017098072.72244
2019-09-24,154661092904.12317
2019-09-25,151274745517.82642
2019-09-26,145321930429.69052
2019-09-27,147043095582.4701
2019-09-28,147332393618.44443
2019-09-29,144876708488.21005
2019-09-30,148803916514.7677
2019-10-01,149397042721.8758
2019-10-02,150274613052.58777
2019-10-03,148345592160.90897
2019-10-04,146767326338.79993
2019-10-05,146351095556.08783
2019-10-06,141206285787.88336
2019-10-07,147899313786.38907
2019-10-08,147270287407.1788
2019-10-09,154625456579.23492
2019-10-10,154278819679.684
2019-10-11,149110991493.22113
2019-10-12,149734524822.10382
2019-10-13,149164613949.68323
2019-10-14,150170300737.75723
2019-10-15,146845534512.75482
2019-10-16,144037329738.8034
2019-10-17,145287592860.18317
2019-10-18,143266919855.44705
2019-10-19,143085646028.75168
2019-10-20,147875242280.4089
2019-10-21,147854575170.57556
2019-10-22,144586456293.4322
2019-10-23,134316744655.84584
2019-10-24,134263137184.01082
2019-10-25,155932804286.95422
2019-10-26,166630581069.47726
2019-10-27,172202055438.67203
2019-10-28,167912181263.83615
2019-10-29,169946389584.88412
2019-10-30,165486571120.74417
2019-10-31,165004691372.6371
2019-11-01,166751798016.3744
2019-11-02,167647144918.66403
2019-11-03,166030720096.80835
2019-11-04,169809075765.17932
2019-11-05,168246968452.96805
2019-11-06,168697792662.7137
2019-11-07,166113240511.8508
2019-11-08,158563288531.54916
2019-11-09,158929965624.4699
2019-11-10,163135487790.4442
2019-11-11,157204392968.14203
2019-11-12,158585915731.34253
2019-11-13,158199619871.92133
2019-11-14,156029084690.90356
2019-11-15,152805221239.1656
2019-11-16,153034112554.8939
2019-11-17,153546374435.2849
2019-11-18,147754246709.6443
2019-11-19,146564658339.2131
2019-11-20,145851914668.3435
2019-11-21,137480717894.71863
2019-11-22,131446951419.7561
2019-11-23,132317341014.17212
2019-11-24,125438020111.1906
2019-11-25,128984010381.1333
2019-11-26,129471791489.54346
2019-11-27,136015452003.775
2019-11-28,134394712380.75812
2019-11-29,140035753824.32825
2019-11-30,136585605232.84554
2019-12-01,134095575599.21852
2019-12-02,132311649481.68288
2019-12-03,132111542796.43443
2019-12-04,130473486507.8814
2019-12-05,133905907021.29042
2019-12-06,136272863879.84612
2019-12-07,135886841741.42656
2019-12-08,136206094715.73811
2019-12-09,132805669774.6542
2019-12-10,130862566069.28896
2019-12-11,130302159494.60497
2019-12-12,130176306232.1156
2019-12-13,131132158335.25366
2019-12-14,127999800420.60497
2019-12-15,128738145823.27988
2019-12-16,124607959806.08746
2019-12-17,119669002105.71834
2019-12-18,131915496849.08092
2019-12-19,129422222016.77724
2019-12-20,130125371827.7286
2019-12-21,129345551109.71738
2019-12-22,135504182500.0066
2019-12-23,132661061513.20563
2019-12-24,131111985464.01056
2019-12-25,130317953564.1928
2019-12-26,130395775601.22533
2019-12-27,131179357399.31564
2019-12-28,132452581795.07286
2019-12-29,134006582388.63812
2019-12-30,131081294265.51051
2019-12-31,129970082372.677
2020-01-01,130044373322.33379
2020-01-02,125997729470.88753
2020-01-03,132696546617.9412
2020-01-04,133217241900.65343
2020-01-05,133275140628.50085
2020-01-06,140913446583.57416
2020-01-07,147650387097.9029
2020-01-08,146278447249.1157
2020-01-09,141891415486.24527
2020-01-10,147582148237.8166
2020-01-11,145822905688.42953
2020-01-12,148244692101.63885
2020-01-13,147485275164.18643
2020-01-14,160362182649.78302
2020-01-15,160038851605.64972
2020-01-16,158371394895.9236
2020-01-17,161910403912.36755
2020-01-18,162209239871.51685
2020-01-19,157850148001.62515
2020-01-20,156938136300.68027
2020-01-21,158674065182.0027
2020-01-22,157183091622.76913
2020-01-23,152082924891.57297
2020-01-24,153135182382.82776
2020-01-25,151723062490.33075
2020-01-26,155903844151.0003
2020-01-27,161883952905.72916
2020-01-28,169091413723.46133
2020-01-29,169374825966.0464
2020-01-30,172976113948.88013
2020-01-31,170234553906.81723
2020-02-01,170699826042.5783
2020-02-02,169943267782.81882
2020-02-03,168876392941.6707
2020-02-04,166740743006.20743
2020-02-05,175250308848.13208
2020-02-06,177289768826.43756
2020-02-07,178417196310.33414
2020-02-08,180455462436.1386
2020-02-09,184840742312.64767
2020-02-10,179780570081.514
2020-02-11,187081233587.23752
2020-02-12,188700718413.703
2020-02-13,186448589139.1426
2020-02-14,188763431392.39105
2020-02-15,180585098507.11853
2020-02-16,181337408895.616
2020-02-17,176455532970.7746
2020-02-18,185808950969.89783
