time,CapRealUSD
2013-11-04,881110179.0742092
2013-11-05,900160875.9896004
2013-11-06,914326538.7958881
2013-11-07,950695161.910617
2013-11-08,985992843.9759479
2013-11-09,1007735368.9888918
2013-11-10,1022872187.4226022
2013-11-11,1042856373.3108206
2013-11-12,1068416006.5484062
2013-11-13,1103772709.4921255
2013-11-14,1141908839.1573408
2013-11-15,1168408330.5820441
2013-11-16,1192088841.9243472
2013-11-17,1229931356.1900516
2013-11-18,1342479249.22551
2013-11-19,1388304986.8271086
2013-11-20,1454433894.313018
2013-11-21,1523166342.1367433
2013-11-22,1698560086.5648031
2013-11-23,1794035384.8628585
2013-11-24,1833738144.8433928
2013-11-25,1914454965.9358244
2013-11-26,2169337815.6628847
2013-11-27,2286771194.34339
2013-11-28,2424050016.338875
2013-11-29,2590222577.504475
2013-11-30,2665379543.4028153
2013-12-01,2698201869.4510727
2013-12-02,2759299847.0475144
2013-12-03,2816310568.38139
2013-12-04,2905198256.8736124
2013-12-05,2958143846.531689
2013-12-06,2955513780.66014
2013-12-07,2966916364.735812
2013-12-08,2987095160.3405843
2013-12-09,3010208768.0684648
2013-12-10,3047326932.376468
2013-12-11,3083348229.202632
2013-12-12,3096576105.278408
2013-12-13,3126610389.266908
2013-12-14,3119383221.4106116
2013-12-15,3137158296.0207567
2013-12-16,3130238373.320576
2013-12-17,3131783548.5464106
2013-12-18,3117859191.371396
2013-12-19,3130932784.5368605
2013-12-20,3129569462.533084
2013-12-21,3182378176.940208
2013-12-22,3135075588.785486
2013-12-23,3145094972.5925827
2013-12-24,3207695604.128327
2013-12-25,3224050791.0340543
2013-12-26,3242797136.2675433
2013-12-27,3261824931.8371124
2013-12-28,3265826672.017635
2013-12-29,3271688774.7814198
2013-12-30,3274976671.9773655
2013-12-31,3279186880.3886867
2014-01-01,3281322851.274269
2014-01-02,3296653625.3845716
2014-01-03,3316137653.206987
2014-01-04,3373108239.719081
2014-01-05,3406633950.1929083
2014-01-06,3430848352.018949
2014-01-07,3439485726.4602942
2014-01-08,3473063869.2220716
2014-01-09,3485642725.958806
2014-01-10,3495050632.2373695
2014-01-11,3528748844.83372
2014-01-12,3544115947.473931
2014-01-13,3553221347.9560356
2014-01-14,3568362167.607922
2014-01-15,3592930402.891573
2014-01-16,3607004998.4553976
2014-01-17,3612304881.988883
2014-01-18,3618217889.3410354
2014-01-19,3629583387.8547277
2014-01-20,3640311499.6244144
2014-01-21,3648228972.394234
2014-01-22,3661734715.958276
2014-01-23,3667456041.154255
2014-01-24,3676555832.3651423
2014-01-25,3686744999.6679864
2014-01-26,3693375859.0275583
2014-01-27,3693827848.913633
2014-01-28,3703650468.720353
2014-01-29,3713574097.5580063
2014-01-30,3722063390.6860795
2014-01-31,3728133950.654102
2014-02-01,3745376163.2290826
2014-02-02,3751795421.813135
2014-02-03,3758576986.378554
2014-02-04,3762137541.165014
2014-02-05,3889291577.869657
2014-02-06,3893220032.500183
2014-02-07,3887437278.723222
2014-02-08,3885017531.210062
2014-02-09,3888063260.7824345
2014-02-10,3890732140.701659
2014-02-11,3889298409.611926
2014-02-12,3886174370.8056207
2014-02-13,3884317324.444532
2014-02-14,3892561470.9844074
2014-02-15,3894775920.7557306
2014-02-16,3895289153.585816
2014-02-17,3895106902.7373085
2014-02-18,3896612903.70429
